band,material_boundary,negligible_boundary,true_delta_tpr,min_p_H_repr_across_geometry,median_p_H_repr_across_geometry,max_p_H_repr_across_geometry,min_p_H_sequence_across_geometry,median_p_H_sequence_across_geometry,max_p_H_sequence_across_geometry,max_bootstrap_half_width,median_bootstrap_half_width
material05_negligible05,0.05,0.05,0.0,0.0,0.00025,0.0025,0.106,0.34225,1.0,0.13254464285714282,0.06834970885093167
material05_negligible05,0.05,0.05,0.03,0.0,0.005,0.0135,0.0525,0.09675,0.4725,0.13131420807453414,0.07094081909937888
material05_negligible05,0.05,0.05,0.05,0.004,0.021,0.027,0.0265,0.0335,0.0905,0.13002736801242235,0.0741159355590062
material05_negligible05,0.05,0.05,0.075,0.0535,0.088,0.1755,0.0045,0.00625,0.013,0.12869712732919253,0.07656785714285713
material05_negligible05,0.05,0.05,0.08,0.0685,0.114,0.2415,0.0025,0.0035,0.0105,0.1286858307453416,0.07677340838509317
material05_negligible05,0.05,0.05,0.1,0.116,0.23025,0.562,0.0,0.001,0.008,0.1271937111801242,0.07671640139751552
material05_negligible05,0.05,0.05,0.125,0.203,0.45399999999999996,0.875,0.0,0.0,0.0005,0.12548260869565217,0.07672659161490683
material05_negligible05,0.05,0.05,0.13,0.2355,0.5122500000000001,0.9155,0.0,0.0,0.001,0.12512651397515526,0.07708214285714285
material05_negligible05,0.05,0.05,0.15,0.337,0.685,0.983,0.0,0.0,0.001,0.12376564440993788,0.07847709627329191
material05_negligible05,0.05,0.05,0.2,0.6195,0.94,1.0,0.0,0.0,0.0,0.12663396739130434,0.08158548136645963
material10_negligible03,0.1,0.03,0.0,0.0,0.0,0.0005,0.0595,0.13825,1.0,0.13254464285714282,0.06834970885093167
material10_negligible03,0.1,0.03,0.03,0.0,0.0,0.0015,0.02,0.024,0.049,0.13131420807453414,0.07094081909937888
material10_negligible03,0.1,0.03,0.05,0.0,0.00025,0.004,0.0015,0.0065,0.0145,0.13002736801242235,0.0741159355590062
material10_negligible03,0.1,0.03,0.075,0.0,0.0045,0.011,0.0,0.00075,0.0065,0.12869712732919253,0.07656785714285713
material10_negligible03,0.1,0.03,0.08,0.0,0.00625,0.013,0.0,0.0005,0.0035,0.1286858307453416,0.07677340838509317
material10_negligible03,0.1,0.03,0.1,0.0085,0.02275,0.033,0.0,0.0,0.002,0.1271937111801242,0.07671640139751552
material10_negligible03,0.1,0.03,0.125,0.051,0.08925,0.126,0.0,0.0,0.0,0.12548260869565217,0.07672659161490683
material10_negligible03,0.1,0.03,0.13,0.0675,0.10575,0.1755,0.0,0.0,0.0005,0.12512651397515526,0.07708214285714285
material10_negligible03,0.1,0.03,0.15,0.117,0.22449999999999998,0.406,0.0,0.0,0.0005,0.12376564440993788,0.07847709627329191
material10_negligible03,0.1,0.03,0.2,0.32,0.65575,0.93,0.0,0.0,0.0,0.12663396739130434,0.08158548136645963
material08_negligible03,0.08,0.03,0.0,0.0,0.0,0.0015,0.0595,0.13825,1.0,0.13254464285714282,0.06834970885093167
material08_negligible03,0.08,0.03,0.03,0.0,0.00075,0.005,0.02,0.024,0.049,0.13131420807453414,0.07094081909937888
material08_negligible03,0.08,0.03,0.05,0.0,0.0035,0.009,0.0015,0.0065,0.0145,0.13002736801242235,0.0741159355590062
material08_negligible03,0.08,0.03,0.075,0.0095,0.02075,0.0305,0.0,0.00075,0.0065,0.12869712732919253,0.07656785714285713
material08_negligible03,0.08,0.03,0.08,0.018,0.0315,0.041,0.0,0.0005,0.0035,0.1286858307453416,0.07677340838509317
material08_negligible03,0.08,0.03,0.1,0.054,0.085,0.1405,0.0,0.0,0.002,0.1271937111801242,0.07671640139751552
material08_negligible03,0.08,0.03,0.125,0.113,0.22399999999999998,0.481,0.0,0.0,0.0,0.12548260869565217,0.07672659161490683
material08_negligible03,0.08,0.03,0.13,0.14,0.27875,0.5525,0.0,0.0,0.0005,0.12512651397515526,0.07708214285714285
material08_negligible03,0.08,0.03,0.15,0.205,0.4455,0.804,0.0,0.0,0.0005,0.12376564440993788,0.07847709627329191
material08_negligible03,0.08,0.03,0.2,0.464,0.8355,0.9935,0.0,0.0,0.0,0.12663396739130434,0.08158548136645963
material075_negligible025,0.075,0.025,0.0,0.0,0.0,0.0015,0.0595,0.13825,1.0,0.13254464285714282,0.06834970885093167
material075_negligible025,0.075,0.025,0.03,0.0,0.00075,0.005,0.02,0.024,0.049,0.13131420807453414,0.07094081909937888
material075_negligible025,0.075,0.025,0.05,0.0,0.0035,0.009,0.0015,0.0065,0.0145,0.13002736801242235,0.0741159355590062
material075_negligible025,0.075,0.025,0.075,0.0095,0.02075,0.0305,0.0,0.00075,0.0065,0.12869712732919253,0.07656785714285713
material075_negligible025,0.075,0.025,0.08,0.018,0.0315,0.041,0.0,0.0005,0.0035,0.1286858307453416,0.07677340838509317
material075_negligible025,0.075,0.025,0.1,0.054,0.085,0.1405,0.0,0.0,0.002,0.1271937111801242,0.07671640139751552
material075_negligible025,0.075,0.025,0.125,0.113,0.22399999999999998,0.481,0.0,0.0,0.0,0.12548260869565217,0.07672659161490683
material075_negligible025,0.075,0.025,0.13,0.14,0.27875,0.5525,0.0,0.0,0.0005,0.12512651397515526,0.07708214285714285
material075_negligible025,0.075,0.025,0.15,0.205,0.4455,0.804,0.0,0.0,0.0005,0.12376564440993788,0.07847709627329191
material075_negligible025,0.075,0.025,0.2,0.464,0.8355,0.9935,0.0,0.0,0.0,0.12663396739130434,0.08158548136645963
