baseline_tpr,true_delta_tpr,loss_frac,p00,p01,p10,p11,tpr_sequence,tpr_representation,true_delta,mean_estimated_delta,sd_estimated_delta,normal_ci_mean_half_width,normal_ci_coverage,bootstrap_mean_half_width,bootstrap_median_half_width,bootstrap_coverage,material05_negligible05__p_boot_ci_low_ge_material,material05_negligible05__p_boot_ci_high_le_negligible,material10_negligible03__p_boot_ci_low_ge_material,material10_negligible03__p_boot_ci_high_le_negligible,material08_negligible03__p_boot_ci_low_ge_material,material08_negligible03__p_boot_ci_high_le_negligible,material075_negligible025__p_boot_ci_low_ge_material,material075_negligible025__p_boot_ci_high_le_negligible
0.2,0.0,0.0,0.8,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.2,0.0,0.25,0.7499999999999999,0.05,0.05,0.15000000000000002,0.2,0.2,0.0,-0.0016490683229813663,0.024787957856541355,0.048719643999010076,0.9495,0.04831937111801241,0.049689440993788817,0.9555,0.0,0.61,0.0,0.236,0.0,0.236,0.0,0.236
0.2,0.0,0.5,0.7000000000000001,0.1,0.1,0.1,0.2,0.2,0.0,-0.0022732919254658383,0.03463176491331385,0.06891199994993709,0.951,0.06839895186335403,0.06832298136645963,0.9595,0.0,0.35,0.0,0.1445,0.0,0.1445,0.0,0.1445
0.2,0.0,0.75,0.6499999999999999,0.15000000000000002,0.15000000000000002,0.04999999999999999,0.2,0.2,0.0,0.0013788819875776397,0.04333430205704894,0.08442064169281754,0.95,0.08373792701863353,0.08385093167701864,0.955,0.001,0.2285,0.0,0.0985,0.0005,0.0985,0.0005,0.0985
0.2,0.03,0.0,0.77,0.03,0.0,0.2,0.2,0.23,0.03,0.029732919254658385,0.013625065658601356,0.02544278804530113,0.8515,0.02469386645962733,0.024844720496894415,0.9365,0.0,0.4595,0.0,0.049,0.0,0.049,0.0,0.049
0.2,0.03,0.25,0.72,0.08,0.05,0.15000000000000002,0.2,0.23,0.03,0.03043167701863354,0.028228243479387648,0.055163433334162924,0.9485,0.05469922360248446,0.05590062111801242,0.943,0.006,0.1275,0.0,0.0225,0.0005,0.0225,0.0005,0.0225
0.2,0.03,0.5,0.67,0.13,0.1,0.1,0.2,0.23,0.03,0.030180124223602483,0.03670885422966544,0.07371759367339148,0.9545,0.07304433229813664,0.07453416149068322,0.9505,0.0035,0.0905,0.0,0.02,0.0,0.02,0.0,0.02
0.2,0.03,0.75,0.6199999999999999,0.18000000000000002,0.15000000000000002,0.04999999999999999,0.2,0.23,0.03,0.029779503105590063,0.044992489804910885,0.0884665362342615,0.9505,0.0877542313664596,0.08695652173913045,0.9445,0.005,0.082,0.0,0.024,0.0015,0.024,0.0015,0.024
0.2,0.05,0.0,0.75,0.05,0.0,0.2,0.2,0.25,0.05,0.050158385093167696,0.016909366669853366,0.03324640692233957,0.907,0.032649805900621116,0.03416149068322981,0.91,0.007,0.083,0.0,0.0015,0.0,0.0015,0.0,0.0015
0.2,0.05,0.25,0.7,0.1,0.05,0.15000000000000002,0.2,0.25,0.05,0.049527950310559,0.030271587180150772,0.059348150915873914,0.955,0.058783074534161484,0.059006211180124224,0.9475,0.016,0.0365,0.0005,0.003,0.002,0.003,0.002,0.003
0.2,0.05,0.5,0.65,0.15000000000000002,0.1,0.1,0.2,0.25,0.05,0.04935714285714286,0.03901064254149307,0.07680164126696709,0.9505,0.07613055124223601,0.07461180124223604,0.947,0.021,0.032,0.0,0.0075,0.0035,0.0075,0.0035,0.0075
0.2,0.05,0.75,0.6000000000000001,0.2,0.15000000000000002,0.04999999999999999,0.2,0.25,0.05,0.05122049689440993,0.04717904896539702,0.09078203610153937,0.949,0.09001673136645963,0.09006211180124224,0.946,0.0215,0.0325,0.0,0.0085,0.0055,0.0085,0.0055,0.0085
0.2,0.075,0.0,0.7250000000000001,0.075,0.0,0.2,0.2,0.275,0.075,0.07551242236024845,0.020998390151623653,0.040461825897944496,0.95,0.039848175465838506,0.04037267080745342,0.9195,0.16,0.005,0.0,0.0,0.014,0.0,0.014,0.0
0.2,0.075,0.25,0.6749999999999999,0.125,0.05,0.15000000000000002,0.2,0.275,0.075,0.0741304347826087,0.03252398624162088,0.06345261404252912,0.9455,0.06290376552795031,0.06211180124223603,0.941,0.0955,0.0045,0.0015,0.001,0.0195,0.001,0.0195,0.001
0.2,0.075,0.5,0.625,0.175,0.1,0.1,0.2,0.275,0.075,0.07396273291925466,0.040668278266149126,0.08020767670710333,0.954,0.07952263198757764,0.08074534161490682,0.9475,0.0755,0.008,0.002,0.0015,0.021,0.0015,0.021,0.0015
0.2,0.075,0.75,0.575,0.22500000000000003,0.15000000000000002,0.04999999999999999,0.2,0.275,0.075,0.07632298136645962,0.04831056725224531,0.09367954667774428,0.947,0.09282581521739129,0.09316770186335403,0.942,0.0765,0.0075,0.006,0.001,0.0275,0.001,0.0275,0.001
0.2,0.08,0.0,0.72,0.08,0.0,0.2,0.2,0.28,0.08,0.08035093167701862,0.021270305285843144,0.04166602545130012,0.94,0.04109530279503106,0.04037267080745342,0.938,0.2295,0.0035,0.0005,0.0,0.0225,0.0,0.0225,0.0
0.2,0.08,0.25,0.6699999999999999,0.13,0.05,0.15000000000000002,0.2,0.28,0.08,0.08054347826086956,0.03275969353346799,0.06418496149436109,0.942,0.06353827639751553,0.06218944099378882,0.9345,0.1345,0.0035,0.0015,0.0,0.034,0.0,0.034,0.0
0.2,0.08,0.5,0.6200000000000001,0.18,0.1,0.1,0.2,0.28,0.08,0.08080434782608696,0.04222986939594937,0.08064407052413936,0.9465,0.07988889751552795,0.08074534161490683,0.9385,0.118,0.0035,0.012,0.0015,0.041,0.0015,0.041,0.0015
