regime,n_per_class,metric,p05,median,p95
A_stable_single,100,pairwise_agreement,1.0,1.0,1.0
A_stable_single,100,modal_frequency,1.0,1.0,1.0
A_stable_single,120,pairwise_agreement,1.0,1.0,1.0
A_stable_single,120,modal_frequency,1.0,1.0,1.0
A_stable_single,139,pairwise_agreement,1.0,1.0,1.0
A_stable_single,139,modal_frequency,1.0,1.0,1.0
B_near_tie,100,pairwise_agreement,0.5,0.842929292929293,1.0
B_near_tie,100,modal_frequency,0.55,0.915,1.0
B_near_tie,120,pairwise_agreement,0.49818181818181817,0.8345454545454546,1.0
B_near_tie,120,modal_frequency,0.54,0.91,1.0
B_near_tie,139,pairwise_agreement,0.5022222222222222,0.8345454545454546,1.0
B_near_tie,139,modal_frequency,0.56,0.91,1.0
C_distributed,100,pairwise_agreement,0.28964646464646465,0.5692929292929293,0.98
C_distributed,100,modal_frequency,0.39,0.72,0.99
C_distributed,120,pairwise_agreement,0.3056565656565657,0.5689898989898989,0.98
C_distributed,120,modal_frequency,0.4,0.73,0.99
C_distributed,139,pairwise_agreement,0.3202020202020202,0.5546464646464646,0.98
C_distributed,139,modal_frequency,0.43,0.7,0.99
