regime,n_per_class,p05,median,p95,jaccard_recurrence_pass_rate
A_stable_single,100,0.3810814433280748,0.42782317113673723,0.48272833990775693,0.052
A_stable_single,120,0.39258965630522635,0.44556527309711524,0.49547163900980035,0.082
A_stable_single,139,0.4027669438841937,0.4573197009531054,0.504404698276214,0.056
B_near_tie,100,0.40301036292680825,0.45336258367370663,0.5054317788084282,0.082
B_near_tie,120,0.4223838368806882,0.4694938141551196,0.5196597179091604,0.1
B_near_tie,139,0.4357973716140171,0.4831083725569614,0.5350765705957221,0.094
C_distributed,100,0.3502277513694027,0.40983981844903106,0.4712438458039654,0.558
C_distributed,120,0.3640213432806947,0.42509172410227475,0.48850359708444485,0.734
C_distributed,139,0.3843293028889848,0.44267301236259654,0.5068140679559808,0.8
D_diffuse_sixteen,100,0.29004025654489407,0.3263666211780459,0.3780258226137498,0.076
D_diffuse_sixteen,120,0.2887875323280914,0.3305480486557907,0.37343087937580666,0.09
D_diffuse_sixteen,139,0.28832359577721317,0.3258301444930096,0.37435509400416106,0.108
