pairwise_threshold,modal_threshold,pass_rate_stable_single,pass_rate_near_tie,pass_rate_distributed,acceptable
0.5,0.6,1.0,0.91,0.588,0
0.5,0.65,1.0,0.86,0.568,0
0.5,0.7,1.0,0.788,0.512,0
0.5,0.75,1.0,0.728,0.444,0
0.5,0.8,1.0,0.658,0.362,0
0.5,0.85,1.0,0.598,0.306,0
0.5,0.9,1.0,0.534,0.232,0
0.5,0.95,1.0,0.438,0.154,0
0.55,0.6,1.0,0.828,0.504,0
0.55,0.65,1.0,0.828,0.504,0
0.55,0.7,1.0,0.788,0.498,0
0.55,0.75,1.0,0.728,0.444,0
0.55,0.8,1.0,0.658,0.362,0
0.55,0.85,1.0,0.598,0.306,0
0.55,0.9,1.0,0.534,0.232,0
0.55,0.95,1.0,0.438,0.154,0
0.6,0.6,1.0,0.748,0.44,0
0.6,0.65,1.0,0.748,0.44,0
0.6,0.7,1.0,0.748,0.44,0
0.6,0.75,1.0,0.728,0.432,0
0.6,0.8,1.0,0.658,0.362,0
0.6,0.85,1.0,0.598,0.306,0
0.6,0.9,1.0,0.534,0.232,0
0.6,0.95,1.0,0.438,0.154,0
0.65,0.6,1.0,0.706,0.38,0
0.65,0.65,1.0,0.706,0.38,0
0.65,0.7,1.0,0.706,0.38,0
0.65,0.75,1.0,0.706,0.38,0
0.65,0.8,1.0,0.658,0.362,0
0.65,0.85,1.0,0.598,0.306,0
0.65,0.9,1.0,0.534,0.232,0
0.65,0.95,1.0,0.438,0.154,0
0.7,0.6,1.0,0.636,0.322,0
0.7,0.65,1.0,0.636,0.322,0
0.7,0.7,1.0,0.636,0.322,0
0.7,0.75,1.0,0.636,0.322,0
0.7,0.8,1.0,0.636,0.322,0
0.7,0.85,1.0,0.598,0.306,0
0.7,0.9,1.0,0.534,0.232,0
0.7,0.95,1.0,0.438,0.154,0
0.75,0.6,1.0,0.584,0.28,0
0.75,0.65,1.0,0.584,0.28,0
0.75,0.7,1.0,0.584,0.28,0
0.75,0.75,1.0,0.584,0.28,0
0.75,0.8,1.0,0.584,0.28,0
0.75,0.85,1.0,0.584,0.28,0
0.75,0.9,1.0,0.534,0.232,0
0.75,0.95,1.0,0.438,0.154,0
0.8,0.6,1.0,0.544,0.234,0
0.8,0.65,1.0,0.544,0.234,0
0.8,0.7,1.0,0.544,0.234,0
0.8,0.75,1.0,0.544,0.234,0
0.8,0.8,1.0,0.544,0.234,0
0.8,0.85,1.0,0.544,0.234,0
0.8,0.9,1.0,0.534,0.232,0
0.8,0.95,1.0,0.438,0.154,0
0.85,0.6,1.0,0.486,0.182,0
0.85,0.65,1.0,0.486,0.182,0
0.85,0.7,1.0,0.486,0.182,0
0.85,0.75,1.0,0.486,0.182,0
0.85,0.8,1.0,0.486,0.182,0
0.85,0.85,1.0,0.486,0.182,0
0.85,0.9,1.0,0.486,0.182,0
0.85,0.95,1.0,0.438,0.154,0
0.9,0.6,1.0,0.438,0.154,0
0.9,0.65,1.0,0.438,0.154,0
0.9,0.7,1.0,0.438,0.154,0
0.9,0.75,1.0,0.438,0.154,0
0.9,0.8,1.0,0.438,0.154,0
0.9,0.85,1.0,0.438,0.154,0
0.9,0.9,1.0,0.438,0.154,0
0.9,0.95,1.0,0.438,0.154,0
