n_per_class	latent_id	sign	signed_identity	inclusion_frequency	recurrent_at_0_80
100	9573	-	9573:-	0.98	True
100	4983	-	4983:-	0.92	True
100	10176	-	10176:-	0.6	False
100	1037	-	1037:-	0.45	False
100	1679	-	1679:-	0.38	False
120	4983	-	4983:-	1.0	True
120	9573	-	9573:-	0.89	True
120	10176	-	10176:-	0.89	True
120	4471	-	4471:-	0.65	False
120	1679	-	1679:-	0.29	False
139	4983	-	4983:-	0.95	True
139	9573	-	9573:-	0.76	False
139	2073	+	2073:+	0.57	False
139	1679	-	1679:-	0.61	False
139	2221	-	2221:-	0.48	False
