n_per_class	rank	latent_id	sign	signed_identity	signed_mean_difference	absolute_mean_difference
100	1	9573	-	9573:-	-0.19236287474632263	0.19236287474632263
100	2	4983	-	4983:-	-0.1881621778011322	0.1881621778011322
100	3	10176	-	10176:-	-0.18061290681362152	0.18061290681362152
100	4	1037	-	1037:-	-0.17843623459339142	0.17843623459339142
100	5	1679	-	1679:-	-0.17783038318157196	0.17783038318157196
120	1	4983	-	4983:-	-0.20486195385456085	0.20486195385456085
120	2	9573	-	9573:-	-0.2007901966571808	0.2007901966571808
120	3	10176	-	10176:-	-0.19600635766983032	0.19600635766983032
120	4	4471	-	4471:-	-0.18963459134101868	0.18963459134101868
120	5	1679	-	1679:-	-0.18323761224746704	0.18323761224746704
139	1	4983	-	4983:-	-0.18881773948669434	0.18881773948669434
139	2	9573	-	9573:-	-0.18728044629096985	0.18728044629096985
139	3	2073	+	2073:+	0.1863788366317749	0.1863788366317749
139	4	1679	-	1679:-	-0.18288731575012207	0.18288731575012207
139	5	2221	-	2221:-	-0.18202196061611176	0.18202196061611176
