length_stratum	n_positive	n_negative	n139_feature_rank	latent_id	frozen_sign	stratum_signed_mean_difference	stratum_sign	sign_matches_full_n139	exhaustion_limited
<30	9	9	1	4983	-	-0.020631613209843636	-	True	False
<30	9	9	2	9573	-	-0.032168205827474594	-	True	False
<30	9	9	3	2073	+	0.0	+	True	False
<30	9	9	4	1679	-	0.0002307646063854918	+	False	False
<30	9	9	5	2221	-	0.006420452613383532	+	False	False
30-75	22	22	1	4983	-	-0.004069033078849316	-	True	False
30-75	22	22	2	9573	-	-0.11383408308029175	-	True	False
30-75	22	22	3	2073	+	0.32657143473625183	+	True	False
30-75	22	22	4	1679	-	0.005884332582354546	+	False	False
30-75	22	22	5	2221	-	0.013710499741137028	+	False	False
76-150	29	29	1	4983	-	-0.06631502509117126	-	True	False
76-150	29	29	2	9573	-	-0.18928150832653046	-	True	False
76-150	29	29	3	2073	+	0.24811846017837524	+	True	False
76-150	29	29	4	1679	-	-0.021677473559975624	-	True	False
76-150	29	29	5	2221	-	0.003140196204185486	+	False	False
>150	79	79	1	4983	-	-0.3043965697288513	-	True	True
>150	79	79	2	9573	-	-0.2246703803539276	-	True	True
>150	79	79	3	2073	+	0.1459069848060608	+	True	True
>150	79	79	4	1679	-	-0.3154965341091156	-	True	True
>150	79	79	5	2221	-	-0.32596877217292786	-	True	True
