scenario,scenario_id,tau,tau_index,rho,rho_index,comparison,n_perturbations_N120,stability_n_per_class_N120,n_distinct_stream26_identities_N120,n_distinct_stability_memberships_N120,duplicate_stability_membership_count_N120,n_distinct_selected_C_N120,n_distinct_stability_supports_N120,largest_identical_stability_support_clique_N120,median_K_t_full_N120,median_K_t_stab_N120,min_K_t_stab_N120,max_K_t_stab_N120,empty_full_support_count_N120,singleton_full_support_count_N120,empty_stability_support_count_N120,singleton_stability_support_count_N120,full_collapse_class_N120,stability_collapse_class_N120,joint_collapse_class_N120,full_fit_collapse_N120,stability_fit_specific_collapse_N120,n_perturbations_N139,stability_n_per_class_N139,n_distinct_stream26_identities_N139,n_distinct_stability_memberships_N139,duplicate_stability_membership_count_N139,n_distinct_selected_C_N139,n_distinct_stability_supports_N139,largest_identical_stability_support_clique_N139,median_K_t_full_N139,median_K_t_stab_N139,min_K_t_stab_N139,max_K_t_stab_N139,empty_full_support_count_N139,singleton_full_support_count_N139,empty_stability_support_count_N139,singleton_stability_support_count_N139,full_collapse_class_N139,stability_collapse_class_N139,joint_collapse_class_N139,full_fit_collapse_N139,stability_fit_specific_collapse_N139
S0,0,,0,,0,N120_vs_N139,100,96,100,100,0,3,57,44,71.0,50.5,0,127,44,0,44,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False,100,111,100,100,0,3,50,51,0.0,0.0,0,134,51,0,51,0,EMPTY,EMPTY,FULL_EMPTY__STABILITY_EMPTY,True,False
S1,1,1.118033988749895,4,,0,N120_vs_N139,100,96,100,100,0,3,69,32,69.5,51.0,0,128,32,0,32,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False,100,111,100,100,0,3,85,16,93.0,67.0,0,141,16,0,16,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,1.6770509831248424,5,,0,N120_vs_N139,100,96,100,100,0,2,100,1,59.0,46.0,34,111,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False,100,111,100,100,0,2,100,1,73.0,54.5,45,120,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,2.23606797749979,6,,0,N120_vs_N139,100,96,100,100,0,2,100,1,52.0,39.0,29,96,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False,100,111,100,100,0,1,100,1,56.0,48.0,40,60,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,2.7950849718747373,7,,0,N120_vs_N139,100,96,100,100,0,1,100,1,48.0,36.0,24,49,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False,100,111,100,100,0,1,100,1,64.0,43.5,33,53,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,3.3541019662496847,8,,0,N120_vs_N139,100,96,100,100,0,1,100,1,35.0,27.0,17,36,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False,100,111,100,100,0,1,100,1,43.0,31.0,24,40,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S2,2,0.223606797749979,0,,0,N120_vs_N139,100,96,100,100,0,3,61,40,73.0,52.0,0,127,40,0,40,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False,100,111,100,100,0,3,49,52,0.0,0.0,0,146,52,0,52,0,EMPTY,EMPTY,FULL_EMPTY__STABILITY_EMPTY,True,False
S2,2,0.447213595499958,1,,0,N120_vs_N139,100,96,100,100,0,3,68,33,70.5,52.5,0,124,33,0,33,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False,100,111,100,100,0,3,76,25,89.0,67.0,0,137,25,0,25,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S2,2,0.6708203932499369,2,,0,N120_vs_N139,100,96,100,100,0,4,57,44,66.0,49.0,0,128,44,0,44,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False,100,111,100,100,0,3,64,37,82.0,60.0,0,131,37,0,37,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S2,2,0.894427190999916,3,,0,N120_vs_N139,100,96,100,100,0,4,89,12,71.0,52.0,0,125,11,1,12,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False,100,111,100,100,0,3,93,8,89.0,64.5,0,128,8,0,8,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
