scenario,scenario_id,target_n,tau,tau_index,rho,rho_index,n_perturbations,stability_n_per_class,n_distinct_stream26_identities,n_distinct_stability_memberships,duplicate_stability_membership_count,n_distinct_selected_C,n_distinct_stability_supports,largest_identical_stability_support_clique,median_K_t_full,median_K_t_stab,min_K_t_stab,max_K_t_stab,empty_full_support_count,singleton_full_support_count,empty_stability_support_count,singleton_stability_support_count,full_collapse_class,stability_collapse_class,joint_collapse_class,full_fit_collapse,stability_fit_specific_collapse
S0,0,100,,0,,0,100,80,100,100,0,4,52,49,47.5,32.0,0,108,49,0,49,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S0,0,120,,0,,0,100,96,100,100,0,3,57,44,71.0,50.5,0,127,44,0,44,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S0,0,139,,0,,0,100,111,100,100,0,3,50,51,0.0,0.0,0,134,51,0,51,0,EMPTY,EMPTY,FULL_EMPTY__STABILITY_EMPTY,True,False
S1,1,100,1.118033988749895,4,,0,100,80,100,100,0,3,66,35,54.0,40.0,0,110,35,0,35,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,120,1.118033988749895,4,,0,100,96,100,100,0,3,69,32,69.5,51.0,0,128,32,0,32,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,139,1.118033988749895,4,,0,100,111,100,100,0,3,85,16,93.0,67.0,0,141,16,0,16,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,100,1.6770509831248424,5,,0,100,80,100,100,0,4,97,4,48.0,38.0,0,111,4,0,4,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,120,1.6770509831248424,5,,0,100,96,100,100,0,2,100,1,59.0,46.0,34,111,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,139,1.6770509831248424,5,,0,100,111,100,100,0,2,100,1,73.0,54.5,45,120,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,100,2.23606797749979,6,,0,100,80,100,100,0,2,100,1,42.0,33.0,24,79,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,120,2.23606797749979,6,,0,100,96,100,100,0,2,100,1,52.0,39.0,29,96,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,139,2.23606797749979,6,,0,100,111,100,100,0,1,100,1,56.0,48.0,40,60,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,100,2.7950849718747373,7,,0,100,80,100,100,0,2,100,1,37.5,29.0,19,79,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,120,2.7950849718747373,7,,0,100,96,100,100,0,1,100,1,48.0,36.0,24,49,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,139,2.7950849718747373,7,,0,100,111,100,100,0,1,100,1,64.0,43.5,33,53,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,100,3.3541019662496847,8,,0,100,80,100,100,0,1,100,1,28.0,23.0,13,30,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
S1,1,120,3.3541019662496847,8,,0,100,96,100,100,0,1,100,1,35.0,27.0,17,36,0,0,0,0,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,FULL_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC__STABILITY_NONDEGENERATE_FOR_ARCHITECTURE_DIAGNOSTIC,False,False
