scenario,scenario_id,target_n,tau,tau_index,rho,rho_index,n_perturbations,P_stat,S_stat,I_stat,G_stat,selected_C_counts_json,R2_zero_coefficient_fraction,stage_A_AUROC_min,stage_A_AUROC_max,K_t_min,K_t_max
S0,0,100,,0,,0,100,0.5,0.0,0.0,0.0,"{""0.0001"":64,""0.1"":29,""0.3"":7}",0.64,0.31,0.7275,0,127
S0,0,120,,0,,0,100,0.5,31.5,0.0,0.0,"{""0.0001"":50,""0.1"":38,""0.3"":10,""1.0"":2}",0.5,0.3142361111111111,0.685763888888889,0,164
S0,0,139,,0,,0,100,0.5108418367346939,89.0,0.0,0.0,"{""0.0001"":37,""0.1"":54,""0.3"":9}",0.37,0.423469387755102,0.6581632653061225,0,163
S1,1,100,1.118033988749895,4,,0,100,0.50125,53.0,0.0,0.0,"{""0.0001"":33,""0.1"":56,""0.3"":11}",0.33,0.3175,0.7975,0,123
S1,1,120,1.118033988749895,4,,0,100,0.5355902777777778,72.0,0.2573099415204678,0.2573099415204678,"{""0.0001"":26,""0.1"":58,""0.3"":15,""1.0"":1}",0.26,0.4045138888888889,0.7777777777777778,0,160
S1,1,139,1.118033988749895,4,,0,100,0.5784438775510203,93.0,1.0,1.0,"{""0.0001"":15,""0.1"":70,""0.3"":14,""1.0"":1}",0.15,0.3826530612244898,0.7130102040816327,0,198
S1,1,100,1.6770509831248424,5,,0,100,0.72375,48.5,0.2320714285714286,0.2320714285714286,"{""0.0001"":1,""0.1"":85,""0.3"":14}",0.01,0.485,0.915,0,115
S1,1,120,1.6770509831248424,5,,0,100,0.7673611111111112,60.0,0.3571428571428571,0.3571428571428571,"{""0.1"":91,""0.3"":8,""1.0"":1}",0.0,0.5451388888888888,0.8975694444444444,49,147
S1,1,139,1.6770509831248424,5,,0,100,0.8003826530612246,73.0,1.0,1.0,"{""0.1"":95,""0.3"":5}",0.0,0.6173469387755102,0.8941326530612246,73,140
S1,1,100,2.23606797749979,6,,0,100,0.77625,42.0,0.2307692307692307,0.2307692307692307,"{""0.1"":99,""0.3"":1}",0.0,0.5675,0.94,31,110
S1,1,120,2.23606797749979,6,,0,100,0.8046875,53.0,0.3529411764705882,0.3529411764705882,"{""0.1"":99,""0.3"":1}",0.0,0.6336805555555556,0.9097222222222222,39,115
S1,1,139,2.23606797749979,6,,0,100,0.8131377551020409,56.0,1.0,1.0,"{""0.1"":100}",0.0,0.6989795918367347,0.9119897959183674,56,56
S1,1,100,2.7950849718747373,7,,0,100,0.8325,38.5,0.2295081967213114,0.2295081967213114,"{""0.1"":97,""0.3"":3}",0.0,0.6024999999999999,0.95,31,90
S1,1,120,2.7950849718747373,7,,0,100,0.8489583333333334,48.0,0.3623188405797101,0.3623188405797101,"{""0.1"":100}",0.0,0.717013888888889,0.9583333333333336,40,58
S1,1,139,2.7950849718747373,7,,0,100,0.8603316326530612,64.0,1.0,1.0,"{""0.1"":100}",0.0,0.75,0.9438775510204082,64,64
S1,1,100,3.3541019662496847,8,,0,100,0.8899999999999999,28.0,0.238095238095238,0.238095238095238,"{""0.1"":99,""0.3"":1}",0.0,0.78,0.985,19,84
S1,1,120,3.3541019662496847,8,,0,100,0.9253472222222224,34.0,0.3555555555555555,0.3555555555555555,"{""0.1"":100}",0.0,0.8315972222222222,0.984375,26,43
S1,1,139,3.3541019662496847,8,,0,100,0.920280612244898,43.0,1.0,1.0,"{""0.1"":100}",0.0,0.8316326530612245,0.979591836734694,43,43
S2,2,100,0.223606797749979,0,,0,100,0.5,0.0,0.0,0.0,"{""0.0001"":59,""0.1"":26,""0.3"":13,""1.0"":2}",0.59,0.3025,0.7,0,141
S2,2,120,0.223606797749979,0,,0,100,0.5,33.0,0.0,0.0,"{""0.0001"":50,""0.1"":38,""0.3"":12}",0.5,0.3506944444444445,0.6354166666666667,0,161
S2,2,139,0.223606797749979,0,,0,100,0.5,95.0,0.0,0.0,"{""0.0001"":48,""0.1"":40,""0.3"":12}",0.48,0.3724489795918367,0.6096938775510204,0,172
S2,2,100,0.447213595499958,1,,0,100,0.5,54.5,0.0,0.0,"{""0.0001"":37,""0.1"":45,""0.3"":17,""1.0"":1}",0.37,0.3575,0.79,0,136
S2,2,120,0.447213595499958,1,,0,100,0.5295138888888888,71.5,0.0,0.0,"{""0.0001"":31,""0.1"":52,""0.3"":14,""1.0"":3}",0.31,0.4114583333333333,0.7743055555555555,0,171
S2,2,139,0.447213595499958,1,,0,100,0.5433673469387754,89.0,0.5945945945945946,0.5945945945945946,"{""0.0001"":25,""0.1"":61,""0.3"":13,""1.0"":1}",0.25,0.3801020408163265,0.792091836734694,0,188
S2,2,100,0.6708203932499369,2,,0,100,0.5,0.0,0.0,0.0,"{""0.0001"":54,""0.1"":37,""0.3"":7,""1.0"":2}",0.54,0.3674999999999999,0.7250000000000001,0,136
S2,2,120,0.6708203932499369,2,,0,100,0.5,64.0,0.0,0.0,"{""0.0001"":44,""0.1"":52,""0.3"":4}",0.44,0.3993055555555556,0.75,0,149
S2,2,139,0.6708203932499369,2,,0,100,0.5255102040816326,82.0,0.0,0.0,"{""0.0001"":31,""0.1"":66,""0.3"":3}",0.31,0.4336734693877551,0.6900510204081634,0,155
S2,2,100,0.894427190999916,3,,0,100,0.5275000000000001,55.0,0.1451910408432147,0.1451910408432147,"{""0.0001"":25,""0.1"":67,""0.3"":7,""1.0"":1}",0.25,0.405,0.7875000000000001,0,130
S2,2,120,0.894427190999916,3,,0,100,0.578125,71.0,0.2946428571428571,0.2946428571428571,"{""0.0001"":16,""0.1"":81,""0.3"":1,""1.0"":2}",0.16,0.392361111111111,0.7621527777777778,0,176
