layer,fit_size,C,engineering_solver_state,fit_completed,convergence_warning,coefficient_finite,intercept_finite,n_iter,exception_type,exception_message
1,128,0.0001,0,True,False,True,True,0,,
1,128,0.0001,1,True,False,True,True,0,,
1,128,0.0001,2,True,False,True,True,0,,
1,128,0.0001,3,True,False,True,True,0,,
1,128,0.0001,4,True,False,True,True,0,,
1,128,0.0003,0,True,False,True,True,0,,
1,128,0.0003,1,True,False,True,True,0,,
1,128,0.0003,2,True,False,True,True,0,,
1,128,0.0003,3,True,False,True,True,0,,
1,128,0.0003,4,True,False,True,True,0,,
1,128,0.001,0,True,False,True,True,0,,
1,128,0.001,1,True,False,True,True,0,,
1,128,0.001,2,True,False,True,True,0,,
1,128,0.001,3,True,False,True,True,0,,
1,128,0.001,4,True,False,True,True,0,,
1,128,0.003,0,True,False,True,True,0,,
1,128,0.003,1,True,False,True,True,0,,
1,128,0.003,2,True,False,True,True,0,,
1,128,0.003,3,True,False,True,True,0,,
1,128,0.003,4,True,False,True,True,0,,
1,128,0.01,0,True,False,True,True,0,,
1,128,0.01,1,True,False,True,True,0,,
1,128,0.01,2,True,False,True,True,0,,
1,128,0.01,3,True,False,True,True,0,,
1,128,0.01,4,True,False,True,True,0,,
1,128,0.03,0,True,False,True,True,0,,
1,128,0.03,1,True,False,True,True,0,,
1,128,0.03,2,True,False,True,True,0,,
1,128,0.03,3,True,False,True,True,0,,
1,128,0.03,4,True,False,True,True,0,,
1,128,0.1,0,True,False,True,True,23,,
1,128,0.1,1,True,False,True,True,31,,
1,128,0.1,2,True,False,True,True,27,,
1,128,0.1,3,True,False,True,True,30,,
1,128,0.1,4,True,False,True,True,31,,
1,128,0.3,0,True,False,True,True,66,,
1,128,0.3,1,True,False,True,True,56,,
1,128,0.3,2,True,False,True,True,66,,
1,128,0.3,3,True,False,True,True,57,,
1,128,0.3,4,True,False,True,True,71,,
1,128,1.0,0,True,False,True,True,75,,
1,128,1.0,1,True,False,True,True,84,,
1,128,1.0,2,True,False,True,True,78,,
1,128,1.0,3,True,False,True,True,56,,
1,128,1.0,4,True,False,True,True,73,,
1,153,0.0001,0,True,False,True,True,0,,
1,153,0.0001,1,True,False,True,True,0,,
1,153,0.0001,2,True,False,True,True,0,,
1,153,0.0001,3,True,False,True,True,0,,
1,153,0.0001,4,True,False,True,True,0,,
1,153,0.0003,0,True,False,True,True,0,,
1,153,0.0003,1,True,False,True,True,0,,
1,153,0.0003,2,True,False,True,True,0,,
1,153,0.0003,3,True,False,True,True,0,,
1,153,0.0003,4,True,False,True,True,0,,
1,153,0.001,0,True,False,True,True,0,,
1,153,0.001,1,True,False,True,True,0,,
1,153,0.001,2,True,False,True,True,0,,
1,153,0.001,3,True,False,True,True,0,,
1,153,0.001,4,True,False,True,True,0,,
1,153,0.003,0,True,False,True,True,0,,
1,153,0.003,1,True,False,True,True,0,,
1,153,0.003,2,True,False,True,True,0,,
1,153,0.003,3,True,False,True,True,0,,
1,153,0.003,4,True,False,True,True,0,,
1,153,0.01,0,True,False,True,True,0,,
1,153,0.01,1,True,False,True,True,0,,
1,153,0.01,2,True,False,True,True,0,,
1,153,0.01,3,True,False,True,True,0,,
1,153,0.01,4,True,False,True,True,0,,
1,153,0.03,0,True,False,True,True,0,,
1,153,0.03,1,True,False,True,True,0,,
1,153,0.03,2,True,False,True,True,0,,
1,153,0.03,3,True,False,True,True,0,,
1,153,0.03,4,True,False,True,True,0,,
1,153,0.1,0,True,False,True,True,26,,
1,153,0.1,1,True,False,True,True,20,,
1,153,0.1,2,True,False,True,True,20,,
1,153,0.1,3,True,False,True,True,24,,
1,153,0.1,4,True,False,True,True,25,,
1,153,0.3,0,True,False,True,True,49,,
1,153,0.3,1,True,False,True,True,56,,
1,153,0.3,2,True,False,True,True,50,,
1,153,0.3,3,True,False,True,True,41,,
1,153,0.3,4,True,False,True,True,55,,
1,153,1.0,0,True,False,True,True,108,,
1,153,1.0,1,True,False,True,True,102,,
1,153,1.0,2,True,False,True,True,108,,
1,153,1.0,3,True,False,True,True,84,,
1,153,1.0,4,True,False,True,True,112,,
1,154,0.0001,0,True,False,True,True,0,,
1,154,0.0001,1,True,False,True,True,0,,
1,154,0.0001,2,True,False,True,True,0,,
1,154,0.0001,3,True,False,True,True,0,,
1,154,0.0001,4,True,False,True,True,0,,
1,154,0.0003,0,True,False,True,True,0,,
1,154,0.0003,1,True,False,True,True,0,,
1,154,0.0003,2,True,False,True,True,0,,
1,154,0.0003,3,True,False,True,True,0,,
1,154,0.0003,4,True,False,True,True,0,,
1,154,0.001,0,True,False,True,True,0,,
1,154,0.001,1,True,False,True,True,0,,
1,154,0.001,2,True,False,True,True,0,,
1,154,0.001,3,True,False,True,True,0,,
1,154,0.001,4,True,False,True,True,0,,
1,154,0.003,0,True,False,True,True,0,,
1,154,0.003,1,True,False,True,True,0,,
1,154,0.003,2,True,False,True,True,0,,
1,154,0.003,3,True,False,True,True,0,,
1,154,0.003,4,True,False,True,True,0,,
1,154,0.01,0,True,False,True,True,0,,
1,154,0.01,1,True,False,True,True,0,,
1,154,0.01,2,True,False,True,True,0,,
1,154,0.01,3,True,False,True,True,0,,
1,154,0.01,4,True,False,True,True,0,,
1,154,0.03,0,True,False,True,True,0,,
1,154,0.03,1,True,False,True,True,0,,
1,154,0.03,2,True,False,True,True,0,,
1,154,0.03,3,True,False,True,True,0,,
1,154,0.03,4,True,False,True,True,0,,
1,154,0.1,0,True,False,True,True,23,,
