scenario,scenario_id,target_n,tau,tau_index,rho,rho_index,n_perturbations,stability_n_per_class,count_K_t_stab_eq_0,count_K_t_stab_eq_1,count_K_t_stab_eq_2,count_K_t_stab_ge_3,min_K_t_stab,median_K_t_stab,max_K_t_stab,planted_sign_instability_idx_json,planted_coordinate_counts_json,qualifying_planted_coordinates_json,I_stat,G_stat,support_resolution_pass,recurring_coordinate_sign_instability_pass,aggregate_sign_effect_pass,acceptance_cell,cell_pass,cell_verdict
S7,7,100,0.223606797749979,0,,0,100,80,74,0,0,26,0,0.0,102,[5],"{""5"":{""M_j"":4,""R_j"":11,""n_minus_j"":7,""n_plus_j"":4,""qualifies"":false}}",[],0.0,0.0,False,False,False,False,False,DESCRIPTIVE_ONLY
S7,7,120,0.223606797749979,0,,0,100,96,85,0,0,15,0,0.0,115,[5],"{""5"":{""M_j"":2,""R_j"":5,""n_minus_j"":3,""n_plus_j"":2,""qualifies"":false}}",[],0.0,0.0,False,False,False,False,False,DESCRIPTIVE_ONLY
S7,7,139,0.223606797749979,0,,0,100,111,80,0,0,20,0,0.0,142,[5],"{""5"":{""M_j"":0,""R_j"":3,""n_minus_j"":3,""n_plus_j"":0,""qualifies"":false}}",[],0.0,0.0,False,False,False,False,False,DESCRIPTIVE_ONLY
S7,7,100,0.447213595499958,1,,0,100,80,77,0,0,23,0,0.0,99,[5],"{""5"":{""M_j"":4,""R_j"":10,""n_minus_j"":4,""n_plus_j"":6,""qualifies"":false}}",[],0.0,0.0,False,False,False,False,False,DESCRIPTIVE_ONLY
S7,7,120,0.447213595499958,1,,0,100,96,83,0,0,17,0,0.0,121,[5],"{""5"":{""M_j"":0,""R_j"":1,""n_minus_j"":1,""n_plus_j"":0,""qualifies"":false}}",[],0.0,0.0,False,False,False,False,False,DESCRIPTIVE_ONLY
S7,7,139,0.447213595499958,1,,0,100,111,83,0,0,17,0,0.0,141,[5],"{""5"":{""M_j"":1,""R_j"":3,""n_minus_j"":2,""n_plus_j"":1,""qualifies"":false}}",[],0.0,0.0,False,False,False,False,False,DESCRIPTIVE_ONLY
S7,7,100,0.6708203932499369,2,,0,100,80,49,0,0,51,0,37.0,109,[5],"{""5"":{""M_j"":9,""R_j"":20,""n_minus_j"":9,""n_plus_j"":11,""qualifies"":false}}",[],0.0,0.0,False,False,False,False,False,DESCRIPTIVE_ONLY
S7,7,120,0.6708203932499369,2,,0,100,96,51,0,0,49,0,0.0,128,[5],"{""5"":{""M_j"":3,""R_j"":11,""n_minus_j"":3,""n_plus_j"":8,""qualifies"":false}}",[],0.0,0.0,False,False,False,False,False,DESCRIPTIVE_ONLY
S7,7,139,0.6708203932499369,2,,0,100,111,44,0,0,56,0,62.0,164,[5],"{""5"":{""M_j"":2,""R_j"":8,""n_minus_j"":2,""n_plus_j"":6,""qualifies"":false}}",[],0.0,0.0,False,False,False,False,False,DESCRIPTIVE_ONLY
S7,7,100,0.894427190999916,3,,0,100,80,32,0,0,68,0,39.0,101,[5],"{""5"":{""M_j"":5,""R_j"":21,""n_minus_j"":5,""n_plus_j"":16,""qualifies"":false}}",[],0.0,0.0,False,False,False,False,False,DESCRIPTIVE_ONLY
S7,7,120,0.894427190999916,3,,0,100,96,22,0,0,78,0,52.5,126,[5],"{""5"":{""M_j"":5,""R_j"":21,""n_minus_j"":5,""n_plus_j"":16,""qualifies"":false}}",[],0.15730337078651685,0.157223113964687,True,False,True,False,False,DESCRIPTIVE_ONLY
S7,7,139,0.894427190999916,3,,0,100,111,11,0,0,89,0,65.0,150,[5],"{""5"":{""M_j"":3,""R_j"":19,""n_minus_j"":3,""n_plus_j"":16,""qualifies"":false}}",[],0.2549019607843137,0.2549019607843137,True,False,False,False,False,DESCRIPTIVE_ONLY
