accession	historical_annotation_status	claim_role
A0A0F7YZI5	disjoint	historical_claim_under_test
A0A0K1YW63	disjoint	historical_claim_under_test
A0A3Z7J6R4	disjoint	historical_claim_under_test
A0A482AQK7	disjoint	historical_claim_under_test
A0A482ARP7	disjoint	historical_claim_under_test
A0A4Y5X186	disjoint	historical_claim_under_test
A0A976SLN7	disjoint	historical_claim_under_test
A0QLI5	disjoint	historical_claim_under_test
A0ZSK3	disjoint	historical_claim_under_test
A3UNN4	disjoint	historical_claim_under_test
B0KTG9	disjoint	historical_claim_under_test
B2AFA8	disjoint	historical_claim_under_test
B3A0N5	disjoint	historical_claim_under_test
B3EWQ0	disjoint	historical_claim_under_test
B6DDZ5	disjoint	historical_claim_under_test
B8BNY7	disjoint	historical_claim_under_test
C0HJA4	disjoint	historical_claim_under_test
C0HMC3	disjoint	historical_claim_under_test
C0K3N1	disjoint	historical_claim_under_test
C9D7R2	disjoint	historical_claim_under_test
D0Z6T1	disjoint	historical_claim_under_test
D1FQ14	disjoint	historical_claim_under_test
D2X5W3	disjoint	historical_claim_under_test
D8VNS9	disjoint	historical_claim_under_test
E0TU96	disjoint	historical_claim_under_test
E2E4E4	disjoint	historical_claim_under_test
E2E4L2	disjoint	historical_claim_under_test
F8S101	disjoint	historical_claim_under_test
I1VC85	disjoint	historical_claim_under_test
J3SEZ3	disjoint	historical_claim_under_test
O05442	disjoint	historical_claim_under_test
O06522	disjoint	historical_claim_under_test
O06695	disjoint	historical_claim_under_test
O32322	disjoint	historical_claim_under_test
O34163	disjoint	historical_claim_under_test
O34330	disjoint	historical_claim_under_test
O34344	disjoint	historical_claim_under_test
O84616	disjoint	historical_claim_under_test
P00588	disjoint	historical_claim_under_test
P01050	disjoint	historical_claim_under_test
P01526	disjoint	historical_claim_under_test
P01558	disjoint	historical_claim_under_test
P04204	disjoint	historical_claim_under_test
P04977	disjoint	historical_claim_under_test
P04979	disjoint	historical_claim_under_test
P04981	disjoint	historical_claim_under_test
P05088	disjoint	historical_claim_under_test
P06200	disjoint	historical_claim_under_test
P07374	disjoint	historical_claim_under_test
P07493	disjoint	historical_claim_under_test
P09167	disjoint	historical_claim_under_test
P0A3R5	disjoint	historical_claim_under_test
P0A4M4	disjoint	historical_claim_under_test
P0A968	disjoint	historical_claim_under_test
P0C1W9	disjoint	historical_claim_under_test
P0C8E2	disjoint	historical_claim_under_test
P0CJ22	disjoint	historical_claim_under_test
P0DJE5	disjoint	historical_claim_under_test
P0DP56	disjoint	historical_claim_under_test
P0DPU3	disjoint	historical_claim_under_test
P0DQF3	disjoint	historical_claim_under_test
P0DQF6	disjoint	historical_claim_under_test
P0DQJ0	disjoint	historical_claim_under_test
P0DQO9	disjoint	historical_claim_under_test
P0DRA7	disjoint	historical_claim_under_test
P0DRJ1	disjoint	historical_claim_under_test
P0DSI8	disjoint	historical_claim_under_test
P0DUJ6	disjoint	historical_claim_under_test
P0DUJ8	disjoint	historical_claim_under_test
P0DXX0	disjoint	historical_claim_under_test
P0DXX9	disjoint	historical_claim_under_test
P10410	disjoint	historical_claim_under_test
P12964	disjoint	historical_claim_under_test
P13812	disjoint	historical_claim_under_test
P14608	disjoint	historical_claim_under_test
P15917	disjoint	historical_claim_under_test
P17684	disjoint	historical_claim_under_test
P22542	disjoint	historical_claim_under_test
P23694	disjoint	historical_claim_under_test
P24419	disjoint	historical_claim_under_test
P28031	disjoint	historical_claim_under_test
P38441	disjoint	historical_claim_under_test
P38442	disjoint	historical_claim_under_test
P39410	disjoint	historical_claim_under_test
P42296	disjoint	historical_claim_under_test
P49344	disjoint	historical_claim_under_test
P55816	disjoint	historical_claim_under_test
P55915	disjoint	historical_claim_under_test
P56587	disjoint	historical_claim_under_test
P56957	disjoint	historical_claim_under_test
P58806	disjoint	historical_claim_under_test
P58849	disjoint	historical_claim_under_test
P58911	disjoint	historical_claim_under_test
P58923	disjoint	historical_claim_under_test
P58930	disjoint	historical_claim_under_test
P59026	disjoint	historical_claim_under_test
P64454	disjoint	historical_claim_under_test
P69034	disjoint	historical_claim_under_test
P69036	disjoint	historical_claim_under_test
P69502	disjoint	historical_claim_under_test
P74977	disjoint	historical_claim_under_test
P75409	disjoint	historical_claim_under_test
P80172	disjoint	historical_claim_under_test
P81702	disjoint	historical_claim_under_test
P81862	disjoint	historical_claim_under_test
P82140	disjoint	historical_claim_under_test
P84018	disjoint	historical_claim_under_test
P84900	disjoint	historical_claim_under_test
P85224	disjoint	historical_claim_under_test
P86193	disjoint	historical_claim_under_test
P96723	disjoint	historical_claim_under_test
Q06153	disjoint	historical_claim_under_test
Q06K77	disjoint	historical_claim_under_test
Q07730	disjoint	historical_claim_under_test
Q1HLC0	disjoint	historical_claim_under_test
Q1I8U1	disjoint	historical_claim_under_test
Q1JPL7	disjoint	historical_claim_under_test
Q2FWP1	disjoint	historical_claim_under_test
Q3HXX9	disjoint	historical_claim_under_test
Q44066	disjoint	historical_claim_under_test
Q45729	disjoint	historical_claim_under_test
Q46668	disjoint	historical_claim_under_test
Q48R29	disjoint	historical_claim_under_test
Q4MV79	disjoint	historical_claim_under_test
Q4PMS3	disjoint	historical_claim_under_test
Q53957	disjoint	historical_claim_under_test
Q54316	disjoint	historical_claim_under_test
Q54318	disjoint	historical_claim_under_test
Q5ECE3	disjoint	historical_claim_under_test
Q5EPH2	disjoint	historical_claim_under_test
Q5WPS9	disjoint	historical_claim_under_test
Q66S21	disjoint	historical_claim_under_test
Q6EZC2	disjoint	historical_claim_under_test
Q6PQK2	disjoint	historical_claim_under_test
Q6RY98	disjoint	historical_claim_under_test
Q75WF2	disjoint	historical_claim_under_test
Q7N8B1	disjoint	historical_claim_under_test
Q7Q3R9	disjoint	historical_claim_under_test
Q7YT37	disjoint	historical_claim_under_test
Q838U8	disjoint	historical_claim_under_test
Q8JHE1	disjoint	historical_claim_under_test
Q8LW54	disjoint	historical_claim_under_test
Q8MTX1	disjoint	historical_claim_under_test
Q8NVK6	disjoint	historical_claim_under_test
Q8V790	disjoint	historical_claim_under_test
Q8VSL8	disjoint	historical_claim_under_test
Q8Z6A7	disjoint	historical_claim_under_test
Q90121	disjoint	historical_claim_under_test
Q92035	disjoint	historical_claim_under_test
Q939S9	disjoint	historical_claim_under_test
Q939T0	disjoint	historical_claim_under_test
Q93Q17	disjoint	historical_claim_under_test
Q93RR6	disjoint	historical_claim_under_test
Q95P89	disjoint	historical_claim_under_test
Q99289	disjoint	historical_claim_under_test
Q99Q01	disjoint	historical_claim_under_test
Q9FRT9	disjoint	historical_claim_under_test
Q9M4E3	disjoint	historical_claim_under_test
Q9RFY6	disjoint	historical_claim_under_test
U5L3M6	disjoint	historical_claim_under_test
W4VRX8	disjoint	historical_claim_under_test
