identifier	universe	class_name	accession	pfam_accession	model_name
confirmatory::A0A044RE18	confirmatory	negative	A0A044RE18	PF00082.27	Peptidase_S8
confirmatory::A0A044RE18	confirmatory	negative	A0A044RE18	PF01483.25	P_proprotein
confirmatory::A0A044RE18	confirmatory	negative	A0A044RE18	PF16470.10	S8_pro-domain
confirmatory::A0A061B0Q2	confirmatory	negative	A0A061B0Q2	PF00561.25	Abhydrolase_1
confirmatory::A0A061B0Q2	confirmatory	negative	A0A061B0Q2	PF12146.13	Hydrolase_4
confirmatory::A0A061B0Q2	confirmatory	negative	A0A061B0Q2	PF12697.12	Abhydrolase_6
confirmatory::A0A072TH68	confirmatory	negative	A0A072TH68	PF00197.23	Kunitz_legume
confirmatory::A0A075TXZ3	confirmatory	negative	A0A075TXZ3	PF00135.33	COesterase
confirmatory::A0A075TXZ3	confirmatory	negative	A0A075TXZ3	PF07859.18	Abhydrolase_3
confirmatory::A0A075TXZ3	confirmatory	negative	A0A075TXZ3	PF20434.3	BD-FAE
confirmatory::A0A096LNW5	confirmatory	negative	A0A096LNW5	PF00008.32	EGF
confirmatory::A0A096LNW5	confirmatory	negative	A0A096LNW5	PF00008.32	EGF
confirmatory::A0A096LNW5	confirmatory	negative	A0A096LNW5	PF00008.32	EGF
confirmatory::A0A096LNW5	confirmatory	negative	A0A096LNW5	PF07645.20	EGF_CA
confirmatory::A0A096LNW5	confirmatory	negative	A0A096LNW5	PF12661.12	hEGF
confirmatory::A0A096LNW5	confirmatory	negative	A0A096LNW5	PF12661.12	hEGF
confirmatory::A0A096LNW5	confirmatory	negative	A0A096LNW5	PF12661.12	hEGF
confirmatory::A0A096LNW5	confirmatory	negative	A0A096LNW5	PF12661.12	hEGF
confirmatory::A0A0A2JH00	confirmatory	negative	A0A0A2JH00	PF00187.24	Chitin_bind_1
confirmatory::A0A0A2JH00	confirmatory	negative	A0A0A2JH00	PF01476.25	LysM
confirmatory::A0A0A2JT36	confirmatory	negative	A0A0A2JT36	PF01476.25	LysM
confirmatory::A0A0B4JDK1	confirmatory	negative	A0A0B4JDK1	PF00234.27	Tryp_alpha_amyl
confirmatory::A0A0B4JDK1	confirmatory	negative	A0A0B4JDK1	PF14368.11	LTP_2
confirmatory::A0A0D2H023	confirmatory	negative	A0A0D2H023	PF00561.25	Abhydrolase_1
confirmatory::A0A0D2H023	confirmatory	negative	A0A0D2H023	PF12697.12	Abhydrolase_6
confirmatory::A0A0E4AET8	confirmatory	negative	A0A0E4AET8	PF00135.33	COesterase
confirmatory::A0A0E4AET8	confirmatory	negative	A0A0E4AET8	PF07859.18	Abhydrolase_3
confirmatory::A0A0E4AET8	confirmatory	negative	A0A0E4AET8	PF20434.3	BD-FAE
confirmatory::A0A0F7YZI5	confirmatory	positive	A0A0F7YZI5	PF00007.27	Cys_knot
confirmatory::A0A0I9QGZ7	confirmatory	negative	A0A0I9QGZ7	PF00561.25	Abhydrolase_1
confirmatory::A0A0I9RJ56	confirmatory	negative	A0A0I9RJ56	PF00561.25	Abhydrolase_1
confirmatory::A0A0K0IP23	confirmatory	negative	A0A0K0IP23	PF00031.26	Cystatin
confirmatory::A0A0K1YW63	confirmatory	positive	A0A0K1YW63	PF17521.7	Secapin
confirmatory::A0A0K3AVY3	confirmatory	negative	A0A0K3AVY3	PF00234.27	Tryp_alpha_amyl
confirmatory::A0A0K3AVY3	confirmatory	negative	A0A0K3AVY3	PF14368.11	LTP_2
confirmatory::A0A0M3R8G2	confirmatory	negative	A0A0M3R8G2	PF00082.27	Peptidase_S8
confirmatory::A0A0M3R8G2	confirmatory	negative	A0A0M3R8G2	PF02225.27	PA
confirmatory::A0A0M3R8G2	confirmatory	negative	A0A0M3R8G2	PF05922.21	Inhibitor_I9
confirmatory::A0A0M3R8G2	confirmatory	negative	A0A0M3R8G2	PF17766.6	fn3_6
confirmatory::A0A0N9E2K8	confirmatory	negative	A0A0N9E2K8	PF00045.24	Hemopexin
confirmatory::A0A0N9E2K8	confirmatory	negative	A0A0N9E2K8	PF00045.24	Hemopexin
confirmatory::A0A0N9E2K8	confirmatory	negative	A0A0N9E2K8	PF00413.29	Peptidase_M10
confirmatory::A0A0N9E2K8	confirmatory	negative	A0A0N9E2K8	PF01471.23	PG_binding_1
confirmatory::A0A0P0VIP0	confirmatory	negative	A0A0P0VIP0	PF00069.30	Pkinase
confirmatory::A0A0P0VIP0	confirmatory	negative	A0A0P0VIP0	PF00139.25	Lectin_legB
confirmatory::A0A0P0VIP0	confirmatory	negative	A0A0P0VIP0	PF07714.22	PK_Tyr_Ser-Thr
confirmatory::A0A0U5CNN8	confirmatory	negative	A0A0U5CNN8	PF00561.25	Abhydrolase_1
confirmatory::A0A0U5CNN8	confirmatory	negative	A0A0U5CNN8	PF02129.23	Peptidase_S15
confirmatory::A0A126P745	confirmatory	negative	A0A126P745	PF00561.25	Abhydrolase_1
confirmatory::A0A126P745	confirmatory	negative	A0A126P745	PF12697.12	Abhydrolase_6
confirmatory::A0A158V755	confirmatory	negative	A0A158V755	PF00234.27	Tryp_alpha_amyl
confirmatory::A0A158V755	confirmatory	negative	A0A158V755	PF14368.11	LTP_2
confirmatory::A0A158V976	confirmatory	negative	A0A158V976	PF00234.27	Tryp_alpha_amyl
confirmatory::A0A158V976	confirmatory	negative	A0A158V976	PF14368.11	LTP_2
confirmatory::A0A1D5PXA5	confirmatory	negative	A0A1D5PXA5	PF00023.35	Ank
confirmatory::A0A1D5PXA5	confirmatory	negative	A0A1D5PXA5	PF00520.36	Ion_trans
confirmatory::A0A1D5PXA5	confirmatory	negative	A0A1D5PXA5	PF13606.11	Ank_3
confirmatory::A0A1E3P8S6	confirmatory	negative	A0A1E3P8S6	PF00561.25	Abhydrolase_1
confirmatory::A0A1E3P8S6	confirmatory	negative	A0A1E3P8S6	PF12146.13	Hydrolase_4
confirmatory::A0A1E3P8S6	confirmatory	negative	A0A1E3P8S6	PF12697.12	Abhydrolase_6
confirmatory::A0A1E4S2P1	confirmatory	negative	A0A1E4S2P1	PF00561.25	Abhydrolase_1
confirmatory::A0A1E4S2P1	confirmatory	negative	A0A1E4S2P1	PF12146.13	Hydrolase_4
confirmatory::A0A1E4S2P1	confirmatory	negative	A0A1E4S2P1	PF12697.12	Abhydrolase_6
confirmatory::A0A1E5RIW9	confirmatory	negative	A0A1E5RIW9	PF00561.25	Abhydrolase_1
confirmatory::A0A1E5RIW9	confirmatory	negative	A0A1E5RIW9	PF12697.12	Abhydrolase_6
confirmatory::A0A1E5RUL9	confirmatory	negative	A0A1E5RUL9	PF00561.25	Abhydrolase_1
confirmatory::A0A1E5RUL9	confirmatory	negative	A0A1E5RUL9	PF00756.25	Esterase
confirmatory::A0A1E5RUL9	confirmatory	negative	A0A1E5RUL9	PF12146.13	Hydrolase_4
confirmatory::A0A1E5RUL9	confirmatory	negative	A0A1E5RUL9	PF12697.12	Abhydrolase_6
confirmatory::A0A1L3THR9	confirmatory	negative	A0A1L3THR9	PF00187.24	Chitin_bind_1
confirmatory::A0A1L3THR9	confirmatory	negative	A0A1L3THR9	PF01522.26	Polysacc_deac_1
confirmatory::A0A1S3PBB7	confirmatory	negative	A0A1S3PBB7	PF00031.26	Cystatin
confirmatory::A0A1S3PBB7	confirmatory	negative	A0A1S3PBB7	PF00031.26	Cystatin
confirmatory::A0A1S4F1Z7	confirmatory	negative	A0A1S4F1Z7	PF00059.26	Lectin_C
confirmatory::A0A1S4GMJ4	confirmatory	negative	A0A1S4GMJ4	PF00089.31	Trypsin
confirmatory::A0A1S4HE51	confirmatory	negative	A0A1S4HE51	PF00089.31	Trypsin
confirmatory::A0A1S4HE51	confirmatory	negative	A0A1S4HE51	PF18322.6	CLIP_1
confirmatory::A0A1S6EK91	confirmatory	negative	A0A1S6EK91	PF00187.24	Chitin_bind_1
confirmatory::A0A1S6EK92	confirmatory	negative	A0A1S6EK92	PF00187.24	Chitin_bind_1
confirmatory::A0A242M8J4	confirmatory	negative	A0A242M8J4	PF00561.25	Abhydrolase_1
confirmatory::A0A242M8J4	confirmatory	negative	A0A242M8J4	PF12146.13	Hydrolase_4
confirmatory::A0A242M8J4	confirmatory	negative	A0A242M8J4	PF12697.12	Abhydrolase_6
confirmatory::A0A2J6KL39	confirmatory	negative	A0A2J6KL39	PF00234.27	Tryp_alpha_amyl
confirmatory::A0A2J6KL39	confirmatory	negative	A0A2J6KL39	PF14368.11	LTP_2
confirmatory::A0A2Z4HPY5	confirmatory	negative	A0A2Z4HPY5	PF00561.25	Abhydrolase_1
confirmatory::A0A2Z4HPY5	confirmatory	negative	A0A2Z4HPY5	PF00756.25	Esterase
confirmatory::A0A336U965	confirmatory	negative	A0A336U965	PF00501.33	AMP-binding
confirmatory::A0A336U965	confirmatory	negative	A0A336U965	PF00550.30	PP-binding
confirmatory::A0A336U965	confirmatory	negative	A0A336U965	PF00975.25	Thioesterase
confirmatory::A0A3S6I186	confirmatory	negative	A0A3S6I186	PF00031.26	Cystatin
confirmatory::A0A3Z7J6R4	confirmatory	positive	A0A3Z7J6R4	PF20798.2	NleE
confirmatory::A0A423VWI2	confirmatory	negative	A0A423VWI2	PF00188.31	CAP
confirmatory::A0A437AFK1	confirmatory	negative	A0A437AFK1	PF00023.35	Ank
confirmatory::A0A437AFK1	confirmatory	negative	A0A437AFK1	PF00023.35	Ank
confirmatory::A0A437AFK1	confirmatory	negative	A0A437AFK1	PF04383.18	KilA-N
confirmatory::A0A443HK52	confirmatory	negative	A0A443HK52	PF00135.33	COesterase
confirmatory::A0A443HK52	confirmatory	negative	A0A443HK52	PF20434.3	BD-FAE
confirmatory::A0A482AQK7	confirmatory	positive	A0A482AQK7	PF03303.18	WTF
confirmatory::A0A482AQK7	confirmatory	positive	A0A482AQK7	PF03303.18	WTF
confirmatory::A0A482ARP7	confirmatory	positive	A0A482ARP7	PF03303.18	WTF
confirmatory::A0A4Y5X186	confirmatory	positive	A0A4Y5X186	PF00184.22	Hormone_5
confirmatory::A0A509AM03	confirmatory	negative	A0A509AM03	PF00082.27	Peptidase_S8
confirmatory::A0A509AM03	confirmatory	negative	A0A509AM03	PF18213.6	SUB1_ProdP9
confirmatory::A0A509AQU3	confirmatory	negative	A0A509AQU3	PF00149.33	Metallophos
confirmatory::A0A509AST0	confirmatory	negative	A0A509AST0	PF00090.24	TSP_1
confirmatory::A0A509AST0	confirmatory	negative	A0A509AST0	PF00092.33	VWA
confirmatory::A0A509AST0	confirmatory	negative	A0A509AST0	PF13519.11	VWA_2
