class_name	protein_id	pfam_accession	model_name
negative	A0A1L9X9H4	PF00135	COesterase
negative	A0A1L9X9H4	PF20434	BD-FAE
negative	A0A224AHH8	PF00031	Cystatin
negative	A0A7G2A2Z3	PF00234	Tryp_alpha_amyl
negative	A0A7G2A2Z3	PF14368	LTP_2
negative	A0L6F0	PF00547	Urease_gamma
negative	A1B1B9	PF00449	Urease_alpha
negative	A1B1B9	PF01979	Amidohydro_1
negative	A1B1B9	PF07969	Amidohydro_3
negative	A1CWF3	PF00082	Peptidase_S8
negative	A1CWF3	PF05922	Inhibitor_I9
negative	A1XIH5	PF00082	Peptidase_S8
negative	A1XIH5	PF05922	Inhibitor_I9
negative	A2S877	PF00561	Abhydrolase_1
negative	A5IV71	PF00449	Urease_alpha
negative	A5IV71	PF01979	Amidohydro_1
negative	A6TAC7	PF00561	Abhydrolase_1
negative	A6TAC7	PF12146	Hydrolase_4
negative	A6TAC7	PF12697	Abhydrolase_6
negative	B3A0N2	PF00234	Tryp_alpha_amyl
negative	B9URJ1	PF00188	CAP
negative	C0HJI4	PF00049	Insulin
negative	C0HJI4	PF03488	Ins_beta
negative	C0HJJ3	PF00123	Hormone_2
negative	C0HKS5	PF00049	Insulin
negative	C0HLG2	PF00234	Tryp_alpha_amyl
negative	C0HLG2	PF14368	LTP_2
negative	C5G168	PF00082	Peptidase_S8
negative	C5G168	PF05922	Inhibitor_I9
negative	G3V8T1	PF00023	Ank
negative	G3V8T1	PF00385	Chromo
negative	G3V8T1	PF12796	Ank_2
negative	G3V8T1	PF13606	Ank_3
negative	G3V8T1	PF13637	Ank_4
negative	G3V8T1	PF13857	Ank_5
negative	O16171	PF00135	COesterase
negative	O16171	PF07859	Abhydrolase_3
negative	O16171	PF20434	BD-FAE
negative	O22841	PF00182	Glyco_hydro_19
negative	O22841	PF00187	Chitin_bind_1
negative	O35474	PF00008	EGF
negative	O35474	PF00754	F5_F8_type_C
negative	O35474	PF12661	hEGF
negative	O35474	PF22633	F5_F8_type_C_2
negative	O35608	PF00147	Fibrinogen_C
negative	O87402	PF00449	Urease_alpha
negative	O87402	PF01979	Amidohydro_1
negative	P00591	PF00151	Lipase
negative	P00591	PF01477	PLAT
negative	P00782	PF00082	Peptidase_S8
negative	P00782	PF05922	Inhibitor_I9
