pfam_identifier	protein_id
CL0001	confirmatory::A0A096LNW5
CL0001	confirmatory::A4FV93
CL0001	confirmatory::A8X481
CL0001	confirmatory::B2LW77
CL0001	confirmatory::B4F785
CL0001	confirmatory::D3YXF5
CL0001	confirmatory::D3ZUK3
CL0001	confirmatory::E9Q6D8
CL0001	confirmatory::O00548
CL0001	confirmatory::O19183
CL0001	confirmatory::O43854
CL0001	confirmatory::O57409
CL0001	confirmatory::O62725
CL0001	confirmatory::O88516
CL0001	confirmatory::O88671
CL0001	confirmatory::O89103
CL0001	confirmatory::O93390
CL0001	confirmatory::P00751
CL0001	confirmatory::P04186
CL0001	confirmatory::P06681
CL0001	confirmatory::P07204
CL0001	confirmatory::P07214
CL0001	confirmatory::P07224
CL0001	confirmatory::P07357
CL0001	confirmatory::P07358
CL0001	confirmatory::P08072
CL0001	confirmatory::P0DPK3
CL0001	confirmatory::P10041
CL0001	confirmatory::P10643
CL0001	confirmatory::P13213
CL0001	confirmatory::P13671
CL0001	confirmatory::P16109
CL0001	confirmatory::P16581
CL0001	confirmatory::P16975
CL0001	confirmatory::P18337
CL0001	confirmatory::P20112
CL0001	confirmatory::P21956
CL0001	confirmatory::P23499
CL0001	confirmatory::P24054
CL0001	confirmatory::P27113
CL0001	confirmatory::P33730
CL0001	confirmatory::P35355
CL0001	confirmatory::P35443
CL0001	confirmatory::P36233
CL0001	confirmatory::P36377
CL0001	confirmatory::P36378
CL0001	confirmatory::P42201
CL0001	confirmatory::P45442
CL0001	confirmatory::P49013
CL0001	confirmatory::P49744
CL0001	confirmatory::P53813
CL0001	confirmatory::P55314
CL0001	confirmatory::P61134
CL0001	confirmatory::P70663
CL0001	confirmatory::P70682
CL0001	confirmatory::P79385
CL0001	confirmatory::P80370
CL0001	confirmatory::P81187
CL0001	confirmatory::P97677
CL0001	confirmatory::P98106
CL0001	confirmatory::P98109
CL0001	confirmatory::P98118
CL0001	confirmatory::P98131
CL0001	confirmatory::P98137
CL0001	confirmatory::Q00690
CL0001	confirmatory::Q01102
CL0001	confirmatory::Q02297
CL0001	confirmatory::Q05769
CL0001	confirmatory::Q06186
CL0001	confirmatory::Q08431
CL0001	confirmatory::Q28768
CL0001	confirmatory::Q29RQ1
CL0001	confirmatory::Q29RU4
CL0001	confirmatory::Q3SWW8
CL0001	confirmatory::Q3SYW2
CL0001	confirmatory::Q4VBE4
CL0001	confirmatory::Q501P1
CL0001	confirmatory::Q53RD9
CL0001	confirmatory::Q5R767
CL0001	confirmatory::Q5RAD0
CL0001	confirmatory::Q5W7P8
CL0001	confirmatory::Q61483
CL0001	confirmatory::Q63HQ2
CL0001	confirmatory::Q6DCQ6
CL0001	confirmatory::Q6DI48
CL0001	confirmatory::Q6EMK4
CL0001	confirmatory::Q6UY11
CL0001	confirmatory::Q70UZ7
CL0001	confirmatory::Q7Z3S9
CL0001	confirmatory::Q811M5
CL0001	confirmatory::Q863A0
CL0001	confirmatory::Q864W0
CL0001	confirmatory::Q8BH35
CL0001	confirmatory::Q8CG16
CL0001	confirmatory::Q8JZM4
CL0001	confirmatory::Q8K182
CL0001	confirmatory::Q8K1E3
CL0001	confirmatory::Q8NFT8
CL0001	confirmatory::Q8SQ74
CL0001	confirmatory::Q8UWJ4
CL0001	confirmatory::Q91V98
CL0001	confirmatory::Q95114
CL0001	confirmatory::Q95235
CL0001	confirmatory::Q95237
CL0001	confirmatory::Q95LG1
CL0001	confirmatory::Q9CZT5
CL0001	confirmatory::Q9ET61
CL0001	confirmatory::Q9GU69
CL0001	confirmatory::Q9HCU0
CL0001	confirmatory::Q9IAT6
CL0001	confirmatory::Q9NR61
CL0001	confirmatory::Q9NYJ7
CL0001	confirmatory::Q9TUQ3
CL0001	confirmatory::Q9VER6
CL0001	confirmatory::Q9W7C5
CL0001	confirmatory::Q9Z1T2
CL0001	discovery::O35474
CL0001	discovery::P98105
CL0001	discovery::Q4QXT9
CL0003	confirmatory::A4D7T3
CL0003	confirmatory::Q07DV3
CL0003	confirmatory::Q07DX6
CL0003	confirmatory::Q07DY6
CL0003	confirmatory::Q07DZ7
CL0003	confirmatory::Q07E17
CL0003	confirmatory::Q09YH1
CL0003	confirmatory::Q09YK6
CL0003	confirmatory::Q108U1
CL0003	confirmatory::Q2IBE3
CL0003	confirmatory::Q2QLC6
CL0003	confirmatory::Q2QLG0
CL0003	confirmatory::Q5XJ13
CL0003	confirmatory::Q68DC2
CL0003	confirmatory::Q6GQX6
CL0003	confirmatory::Q8WMX7
CL0003	confirmatory::Q8WWH4
CL0003	confirmatory::Q9CZK6
CL0003	discovery::P0C0T2
CL0003	discovery::Q2IBF5
CL0003	discovery::Q8WMX6
CL0004	confirmatory::A0A0P0VIP0
CL0004	confirmatory::A0ZSK3
CL0004	confirmatory::A3DBX3
CL0004	confirmatory::B4F785
CL0004	confirmatory::O22833
CL0004	confirmatory::O22834
CL0004	confirmatory::O33680
CL0004	confirmatory::P02868
CL0004	confirmatory::P04122
CL0004	confirmatory::P05088
CL0004	confirmatory::P07224
CL0004	confirmatory::P07441
CL0004	confirmatory::P07442
CL0004	confirmatory::P07443
CL0004	confirmatory::P12306
CL0004	confirmatory::P12307
CL0004	confirmatory::P12308
CL0004	confirmatory::P16350
CL0004	confirmatory::P35443
CL0004	confirmatory::P49744
CL0004	confirmatory::P53813
CL0004	confirmatory::P55915
CL0004	confirmatory::P56625
CL0004	confirmatory::P56957
CL0004	confirmatory::P98118
CL0004	confirmatory::Q3E884
CL0004	confirmatory::Q3SWW8
CL0004	confirmatory::Q4VBE4
CL0004	confirmatory::Q63HQ2
CL0004	confirmatory::Q7FK82
CL0004	confirmatory::Q7XUN6
CL0004	confirmatory::Q84C00
CL0004	confirmatory::Q96285
CL0004	confirmatory::Q9FIF0
CL0004	confirmatory::Q9FIF1
CL0004	confirmatory::Q9FJI4
CL0004	confirmatory::Q9LEA3
CL0004	confirmatory::Q9LSR8
CL0004	confirmatory::Q9LSS0
CL0004	confirmatory::Q9LZF5
CL0004	confirmatory::Q9M020
CL0004	confirmatory::Q9M1Z9
CL0004	confirmatory::Q9M3D8
CL0004	confirmatory::Q9M3E5
CL0004	confirmatory::Q9Z1T2
CL0004	confirmatory::Q9Z3Q2
CL0004	confirmatory::Q9ZW09
CL0004	discovery::P02869
CL0004	discovery::P07440
CL0004	discovery::P07444
CL0004	discovery::Q9LNN2
CL0004	discovery::Q9LSR9
CL0005	confirmatory::C0HL51
CL0005	confirmatory::D3YXF5
CL0005	confirmatory::D3ZVP0
CL0005	confirmatory::E9Q6D8
CL0005	confirmatory::O35679
CL0005	confirmatory::O93390
CL0005	confirmatory::P07214
CL0005	confirmatory::P09865
CL0005	confirmatory::P10643
CL0005	confirmatory::P13213
CL0005	confirmatory::P13671
CL0005	confirmatory::P16975
CL0005	confirmatory::P20112
CL0005	confirmatory::P22074
CL0005	confirmatory::P23499
CL0005	confirmatory::P24054
CL0005	confirmatory::P36233
CL0005	confirmatory::P36377
CL0005	confirmatory::P36378
CL0005	confirmatory::P61134
CL0005	confirmatory::P70663
CL0005	confirmatory::P80424
CL0005	confirmatory::P86987
CL0005	confirmatory::Q09TK7
CL0005	confirmatory::Q09TK9
CL0005	confirmatory::Q29RQ1
CL0005	confirmatory::Q29RU4
CL0005	confirmatory::Q3UTS8
CL0005	confirmatory::Q5R767
CL0005	confirmatory::Q5RAD0
CL0005	confirmatory::Q6IE32
CL0005	confirmatory::Q6IE46
CL0005	confirmatory::Q811M5
CL0005	confirmatory::Q8BMY7
CL0005	confirmatory::Q8CEK3
CL0005	confirmatory::Q9TUQ3
CL0010	confirmatory::O16810
CL0010	confirmatory::P54784
CL0010	confirmatory::P54789
CL0010	confirmatory::Q13415
CL0010	confirmatory::Q3TYA6
CL0010	confirmatory::Q5SMU7
CL0010	confirmatory::Q5ZIJ9
CL0010	confirmatory::Q62422
CL0010	confirmatory::Q6GNY1
CL0010	confirmatory::Q710E8
CL0010	confirmatory::Q80SY4
CL0010	confirmatory::Q80Z32
CL0010	confirmatory::Q86YT6
CL0010	confirmatory::Q8R516
CL0010	confirmatory::Q96AX9
CL0010	confirmatory::Q9SU24
CL0010	confirmatory::Q9Z1N2
CL0010	discovery::G3V8T1
CL0016	confirmatory::A0A0P0VIP0
CL0016	confirmatory::O22833
CL0016	confirmatory::O22834
CL0016	confirmatory::P39410
CL0016	confirmatory::Q05921
CL0016	confirmatory::Q24145
CL0016	confirmatory::Q3E884
CL0016	confirmatory::Q5RF15
CL0016	confirmatory::Q7FK82
CL0016	confirmatory::Q7TQP6
CL0016	confirmatory::Q7XUN6
CL0016	confirmatory::Q8NFD2
CL0016	confirmatory::Q96285
CL0016	confirmatory::Q9FIF0
CL0016	confirmatory::Q9FIF1
