protein_id	group_identifiers
A0A023VZR2	
A0A068B409	PF07365
A0A0A0VBR5	
A0A1D0C0W1	
A0A1L9X9H4	CL0028
A0A1Q1NL17	PF00014
A0A1S4HE90	CL0803
A0A224AHH8	CL0320
A0A3G5BIC2	
A0A5C1ZXT8	
A0A6B9KZ90	
A0A6G9KHD3	
A0A6M3Z541	
A0A7G2A2Z3	CL0482
A0A834R821	PF00079
A0A835CKX4	
A0A8B6XDS4	CL0293
A0A976XK90	
A0L6F0	PF00547
A1B1B9	CL0036
A1CWF3	CL0570;PF00082
A1XIH5	CL0570;PF00082
A2S877	CL0028
A5IV71	CL0036
A6TAC7	CL0028
A7L036	
A7RJ12	
A7RMN1	
A7SXG9	CL0213
A8YPR6	PF00212
B0X6Z1	CL0803
B1P1J4	
B2CS62	
B3A0N1	
B3A0N2	CL0482
B3EWU8	
B5AJT2	CL0126
B5U2W0	CL0124;CL0678
B6DD38	
B9URJ1	CL0659
C0HJI4	CL0239
C0HJJ3	PF00123
C0HKS5	CL0239
C0HKY3	
C0HLG2	CL0482
C0HLG4	
C0HLZ4	
C0HMD5	
C1IBY0	CL0124
C1IBY2	CL0659
C5G168	CL0570;PF00082
C5H8E7	
D1MWE7	CL0116
D2CFI7	PF15430
D2KKB4	
D2Y3T1	
D3JWK2	
D4QD81	
D6C4J8	
D9U2B3	
E2E4F7	
E3PQQ8	
F6KSY2	
G3CJS0	CL0116
G3V8T1	CL0010;CL0465
H2CYP1	PF15430
I6S3A9	
I6VXS1	PF00014
M1JMQ7	CL0803
O16171	CL0028
O18424	
O22841	CL0037;PF00187
O35474	CL0001;CL0202
O35608	CL0422
O87402	CL0036
O87906	CL0202;CL0568;PF03945
P00591	CL0028;CL0321
P00782	CL0570;PF00082
P01085	CL0482
P01223	CL0079
P01321	CL0239
P01336	CL0239
P01546	
P01552	CL0072;CL0658
P02869	CL0004
P05637	CL0163
P06768	CL0116
P06884	PF00159
P06886	CL0072
P07440	CL0004
P07444	CL0004
P07597	CL0482
P09332	CL0124
P09545	CL0568;CL0636
P09807	
P0A1D9	CL0021
P0A984	CL0021
P0A9Y0	CL0021
P0A9Y1	CL0021
P0A9Y8	CL0021
P0C0T2	CL0003;CL0465
P0C1T7	
P0C1X4	
P0C255	PF17557
P0C2K3	
P0C832	
P0CH47	CL0028
P0DJ43	
P0DJC0	
P0DJE4	
P0DKP3	
P0DKQ8	
P0DL61	
P0DM45	
P0DN65	
P0DPE6	
P0DPG6	
P0DPW2	
P0DPY2	
P0DPZ6	
P0DPZ8	
P0DQA3	
P0DQB3	
P0DQE7	
P0DQF1	
P0DQG1	
P0DQG5	PF15430
P0DQI9	
P0DQZ0	
P0DSL3	
P0DXX1	
P0DXZ4	
P0DY41	CL0213
P11218	CL0037;PF00187
P11968	CL0096
P12071	CL0096
P12703	CL0239
P13083	PF00159
P14369	PF00079
P14841	CL0320
P15427	PF00159
P16218	CL0036;CL0202;CL0220
P16519	CL0202;CL0570;PF00082
P16850	CL0482
P16948	
P17405	CL0163;PF19272
P18108	PF00123
P18427	CL0079
P19247	CL0066;CL0636
P21352	CL0116
P22244	PF00161
P22935	CL0116
P23806	CL0056
P25417	CL0320
P29121	CL0202;CL0570;PF00082
P29206	PF00159
P29794	PF00123
P32751	CL0028
P33186	PF00161
P34960	CL0126;CL0244;PF00045
P35478	CL0320
P35792	CL0659
P37999	PF00159
P39690	
P41336	PF00159
P42992	PF00220
P46461	CL0023;CL0199;CL0671
P50120	CL0116
P51480	CL0465
P51909	CL0116
P52278	CL0028
P53264	CL0028
P54355	CL0126;PF16376
P55798	CL0163
P68952	PF00123
P68953	PF00123
P69044	PF00220
P69046	CL0239
P69842	
P80071	CL0079
P83298	CL0124
P83323	
P83395	CL0096
P83396	CL0096
P84452	CL0096
P84786	PF00161
P85006	
P85101	PF00161
P86166	
P86942	
P94669	CL0036
P98089	CL0079;CL0741;PF08742
P98105	CL0001;CL0056
P98153	CL0056;PF00057
Q00531	PF00161;PF20241
Q02157	CL0028;CL0321
Q04669	
Q05968	CL0659
Q06B74	PF00079
Q07338	
Q09023	CL0037;PF00187
Q0JF21	PF00187
Q0RQS0	CL0036
Q13QH4	CL0028
Q17192	CL0239
Q1X703	CL0079
Q27884	CL0163
Q2G1X0	CL0636
Q2IBF5	CL0003;CL0465
Q2XXP1	CL0213;CL0659
Q3C255	
Q3HRV3	CL0079
Q3U435	CL0126;CL0244;PF00045
Q3UMC0	CL0023;CL0671
Q45744	CL0202;CL0568;PF03945
Q45755	CL0202;CL0568;PF03945
Q45758	
Q45UF1	
Q46051	CL0021
Q4QXT9	CL0001;CL0124
Q51929	CL0021
Q53I06	CL0054
Q5F1N4	
Q5MAU8	CL0159;CL0163;PF14008
Q5QGZ2	
Q5WPU8	
Q5WPZ4	
Q5XI64	CL0028
Q5XK91	CL0422
Q5Z1C4	CL0028
Q60651	CL0056
Q60652	CL0056
Q61216	CL0163;PF04152
Q6AZT2	CL0023;CL0671
Q6GE13	CL0636
Q6RX08	CL0030;CL0465
Q6T499	CL0116
Q6VPT6	CL0124
Q70US9	CL0066;PF00161
Q733J4	PF00547
Q76CA2	
Q7M3V4	
Q7T3L1	PF06753
Q7X7E6	CL0482
Q805E8	PF00212
Q813X6	CL0352;CL0695
Q8F4I0	CL0028
Q8IV16	CL0117
Q8QFV1	CL0692;PF03782
Q8WMX6	CL0003;CL0465
Q8XXT1	CL0036
Q91121	CL0079
Q93T81	CL0036
Q93WP4	CL0159;CL0163;PF14008
Q962V9	CL0659
Q964Q0	PF00014
Q9DBY8	CL0023;CL0671;PF16725
Q9EPB5	CL0028
Q9LNN2	CL0004
Q9LSR9	CL0004;CL0016
Q9PW99	CL0079
Q9RYL9	CL0159
Q9S597	CL0202;CL0568;PF03945
Q9SCZ0	CL0482
