component_id	member_count	member_ids
COMP_4b4a8829a8224c6e	15	O87906;P09545;P19247;P22244;P33186;P84786;P85101;Q00531;Q2G1X0;Q45744;Q45755;Q6GE13;Q70US9;Q9S597;Q9ZIU5
COMP_e2b85ab0ba15633a	6	B5U2W0;C1IBY0;P09332;P83298;Q4QXT9;Q6VPT6
COMP_fc43449a46e8e5b6	5	A7SXG9;C1IBY2;P0DY41;Q2XXP1;Q962V9
COMP_81422346be964712	4	A0A1S4HE90;B0X6Z1;M1JMQ7;Q9UB30
COMP_a284a2218261e306	3	A0A1Q1NL17;I6VXS1;Q964Q0
COMP_a3282f47c492421d	3	B5AJT2;P54355;U6BLN5
COMP_53659836a8fd7695	3	D2CFI7;H2CYP1;P0DQG5
COMP_d28a63c3e5718c1a	3	P01552;P06886;Q9X5C7
COMP_0b2396df52194a1e	2	A0A834R821;Q06B74
COMP_965a09f37eca0f28	2	D1MWE7;G3CJS0
COMP_17ef4de6c09e0977	1	A0A023VZR2
COMP_bfe301e01e0dbb7d	1	A0A068B409
COMP_df41a1a6703859eb	1	A0A0A0VBR5
COMP_d08d79d22f1ea480	1	A0A1D0C0W1
COMP_1ad5b2bec6d47b3b	1	A0A3G5BIC2
COMP_4050eb88ce7f36a5	1	A0A5C1ZXT8
COMP_fae78a7e8231f00b	1	A0A6B9KZ90
COMP_30d316141c576718	1	A0A6G9KHD3
COMP_cfab7848ff4df0b3	1	A0A6M3Z541
COMP_b613f7066b1f2cd8	1	A0A835CKX4
COMP_3c8beb82189007e1	1	A0A8B6XDS4
COMP_1bd8270bc3030d4a	1	A0A976XK90
COMP_89751ed7ecf041ae	1	A7L036
COMP_a951590076a4be9d	1	A7RJ12
COMP_fbe14e6bc5c3bdc0	1	A7RMN1
COMP_307385ef28f30185	1	A8YPR6
COMP_0da87154007aa330	1	B1P1J4
COMP_92804f8f56bb8d91	1	B2CS62
COMP_6d0e819570d17dc0	1	B3A0N1
COMP_8f92cc3de519b212	1	B3EWU8
COMP_6de7cb96992b9e1f	1	B6DD38
COMP_0def464854bdd3f0	1	C0HKY3
COMP_97fdb67a2c5418c1	1	C0HLG4
COMP_0db9349f45b8f157	1	C0HLZ4
COMP_d2f9f1903f292806	1	C0HMD5
COMP_6e708677cd2cc5c6	1	C5H8E7
COMP_e60ef7701260fd19	1	D2KKB4
COMP_3ca5a87b6c128aff	1	D2Y3T1
COMP_585f9555f63c19a9	1	D3JWK2
COMP_bb6aee55a33d8557	1	D4QD81
COMP_a2bc9b453c9e38ca	1	D6C4J8
COMP_1610c730f22c9562	1	D9U2B3
COMP_2adccd27f5b03466	1	E2E4F7
COMP_37d605eae0f0504e	1	E3PQQ8
COMP_d769507b07b497c0	1	F6KSY2
COMP_eef3ebba8fe43631	1	I6S3A9
COMP_a6f319ecd87bb70c	1	O18424
COMP_f6863a3020f6c1cb	1	P01546
COMP_431a28e057e879be	1	P09807
COMP_3e6be4ab3e6a8d8f	1	P0C1T7
COMP_15f91dcdb2f22e3a	1	P0C1X4
COMP_dc7e5bdda46467f8	1	P0C255
COMP_6d3d8aa2a11cf520	1	P0C2K3
COMP_1b9b4a8c350aa435	1	P0C832
COMP_a073093552837268	1	P0CH47
COMP_fa70cfb854061a1d	1	P0DJ43
COMP_7432cced728537a9	1	P0DJC0
COMP_f4150137b71dfb79	1	P0DJE4
COMP_56065fc24bfb1510	1	P0DKP3
COMP_88b4d5a022a5d1cb	1	P0DKQ8
COMP_c94a9541b6fdfb3d	1	P0DL61
COMP_cd39db7a0385dc6f	1	P0DM45
COMP_7349c6637d5e5f28	1	P0DN65
COMP_0a3dd00ac6d14d5e	1	P0DPE6
COMP_7b956f175e0a05ef	1	P0DPG6
COMP_b013accf38a859bb	1	P0DPW2
COMP_f7fa0def0231f6ff	1	P0DPY2
COMP_1ea420e0138da815	1	P0DPZ6
COMP_425f18f8e2ab8db9	1	P0DPZ8
COMP_841cf07ceab8151d	1	P0DQA3
COMP_bc74c677c7351343	1	P0DQB3
COMP_3050e9ab2ae74611	1	P0DQE7
COMP_55eea3e1410137cf	1	P0DQF1
COMP_a5d4fdd8ec27f4cb	1	P0DQG1
COMP_d703074d34824cf3	1	P0DQI9
COMP_1b6f1680c7e09fb9	1	P0DQZ0
COMP_9a40028924d6e263	1	P0DSL3
COMP_051466c79585f05b	1	P0DXX1
COMP_f9f6bb838b8db69c	1	P0DXZ4
COMP_5ac9c4d0ffa497bb	1	P16948
COMP_372d5475679c86ae	1	P23806
COMP_15f47d5aefce15dd	1	P39690
COMP_baa967c70ebe2470	1	P69842
COMP_fd417feb4f69c444	1	P83323
COMP_4e98ff74a638a488	1	P85006
COMP_8f196da9bfbf3903	1	P86166
COMP_a76b20aae2d39829	1	P86942
COMP_9d2f3fdb5fbc3215	1	Q04669
COMP_d2932cf826f8ff8c	1	Q07338
COMP_fd8e8d54bbff7a66	1	Q3C255
COMP_0b62c1aad91f6fa0	1	Q45758
COMP_69b97fcf9687ec7c	1	Q45UF1
COMP_37f0b9dfa5b8347e	1	Q53I06
COMP_ea194c63f1a3996b	1	Q5F1N4
COMP_cc16e9c80c4aaa90	1	Q5QGZ2
COMP_47f5e3418dcc7af0	1	Q5WPU8
COMP_45a80a072460fca8	1	Q5WPZ4
COMP_cf1a85a3579fb609	1	Q76CA2
COMP_f3b1ce75372ac303	1	Q7M3V4
COMP_d0b1e932749aa4cc	1	Q7T3L1
COMP_39a5f97aff7f4faa	1	Q813X6
COMP_47cc78da07829457	1	Q9Y0X6
COMP_826136a53c6f1e09	1	T1PQV6
