component_id	member_count	member_ids
COMP_4b4a8829a8224c6e	15	O87906;P09545;P19247;P22244;P33186;P84786;P85101;Q00531;Q2G1X0;Q45744;Q45755;Q6GE13;Q70US9;Q9S597;Q9ZIU5
COMP_e2b85ab0ba15633a	6	B5U2W0;C1IBY0;P09332;P83298;Q4QXT9;Q6VPT6
COMP_fc43449a46e8e5b6	5	A7SXG9;C1IBY2;P0DY41;Q2XXP1;Q962V9
COMP_81422346be964712	4	A0A1S4HE90;B0X6Z1;M1JMQ7;Q9UB30
COMP_a284a2218261e306	3	A0A1Q1NL17;I6VXS1;Q964Q0
COMP_a3282f47c492421d	3	B5AJT2;P54355;U6BLN5
COMP_53659836a8fd7695	3	D2CFI7;H2CYP1;P0DQG5
COMP_d28a63c3e5718c1a	3	P01552;P06886;Q9X5C7
COMP_0b2396df52194a1e	2	A0A834R821;Q06B74
COMP_965a09f37eca0f28	2	D1MWE7;G3CJS0
COMP_bfe301e01e0dbb7d	1	A0A068B409
COMP_3c8beb82189007e1	1	A0A8B6XDS4
COMP_307385ef28f30185	1	A8YPR6
COMP_dc7e5bdda46467f8	1	P0C255
COMP_a073093552837268	1	P0CH47
COMP_372d5475679c86ae	1	P23806
COMP_37f0b9dfa5b8347e	1	Q53I06
COMP_d0b1e932749aa4cc	1	Q7T3L1
COMP_39a5f97aff7f4faa	1	Q813X6
