protein_id	group_identifiers
A0A023VZR2	UNASSIGNED
A0A068B409	PF07365
A0A0A0VBR5	UNASSIGNED
A0A1D0C0W1	UNASSIGNED
A0A1Q1NL17	PF00014
A0A1S4HE90	CL0803
A0A3G5BIC2	UNASSIGNED
A0A5C1ZXT8	UNASSIGNED
A0A6B9KZ90	UNASSIGNED
A0A6G9KHD3	UNASSIGNED
A0A6M3Z541	UNASSIGNED
A0A834R821	PF00079
A0A835CKX4	UNASSIGNED
A0A8B6XDS4	CL0293
A0A976XK90	UNASSIGNED
A7L036	UNASSIGNED
A7RJ12	UNASSIGNED
A7RMN1	UNASSIGNED
A7SXG9	CL0213
A8YPR6	PF00212
B0X6Z1	CL0803
B1P1J4	UNASSIGNED
B2CS62	UNASSIGNED
B3A0N1	UNASSIGNED
B3EWU8	UNASSIGNED
B5AJT2	CL0126
B5U2W0	CL0124;CL0678
B6DD38	UNASSIGNED
C0HKY3	UNASSIGNED
C0HLG4	UNASSIGNED
C0HLZ4	UNASSIGNED
C0HMD5	UNASSIGNED
C1IBY0	CL0124
C1IBY2	CL0659
C5H8E7	UNASSIGNED
D1MWE7	CL0116
D2CFI7	PF15430
D2KKB4	UNASSIGNED
D2Y3T1	UNASSIGNED
D3JWK2	UNASSIGNED
D4QD81	UNASSIGNED
D6C4J8	UNASSIGNED
D9U2B3	UNASSIGNED
E2E4F7	UNASSIGNED
E3PQQ8	UNASSIGNED
F6KSY2	UNASSIGNED
G3CJS0	CL0116
H2CYP1	PF15430
I6S3A9	UNASSIGNED
I6VXS1	PF00014
M1JMQ7	CL0803
O18424	UNASSIGNED
O87906	CL0202;CL0568;PF03945
P01546	UNASSIGNED
P01552	CL0072;CL0658
P06886	CL0072
P09332	CL0124
P09545	CL0568;CL0636
P09807	UNASSIGNED
P0C1T7	UNASSIGNED
P0C1X4	UNASSIGNED
P0C255	PF17557
P0C2K3	UNASSIGNED
P0C832	UNASSIGNED
P0CH47	CL0028
P0DJ43	UNASSIGNED
P0DJC0	UNASSIGNED
P0DJE4	UNASSIGNED
P0DKP3	UNASSIGNED
P0DKQ8	UNASSIGNED
P0DL61	UNASSIGNED
P0DM45	UNASSIGNED
P0DN65	UNASSIGNED
P0DPE6	UNASSIGNED
P0DPG6	UNASSIGNED
P0DPW2	UNASSIGNED
P0DPY2	UNASSIGNED
P0DPZ6	UNASSIGNED
P0DPZ8	UNASSIGNED
P0DQA3	UNASSIGNED
P0DQB3	UNASSIGNED
P0DQE7	UNASSIGNED
P0DQF1	UNASSIGNED
P0DQG1	UNASSIGNED
P0DQG5	PF15430
P0DQI9	UNASSIGNED
P0DQZ0	UNASSIGNED
P0DSL3	UNASSIGNED
P0DXX1	UNASSIGNED
P0DXZ4	UNASSIGNED
P0DY41	CL0213
P16948	UNASSIGNED
P19247	CL0066;CL0636
P22244	PF00161
P23806	CL0056
P33186	PF00161
P39690	UNASSIGNED
P54355	CL0126;PF16376
P69842	UNASSIGNED
P83298	CL0124
P83323	UNASSIGNED
P84786	PF00161
P85006	UNASSIGNED
P85101	PF00161
P86166	UNASSIGNED
P86942	UNASSIGNED
Q00531	PF00161;PF20241
Q04669	UNASSIGNED
Q06B74	PF00079
Q07338	UNASSIGNED
Q2G1X0	CL0636
Q2XXP1	CL0213;CL0659
Q3C255	UNASSIGNED
Q45744	CL0202;CL0568;PF03945
Q45755	CL0202;CL0568;PF03945
Q45758	UNASSIGNED
Q45UF1	UNASSIGNED
Q4QXT9	CL0001;CL0124
Q53I06	CL0054
Q5F1N4	UNASSIGNED
Q5QGZ2	UNASSIGNED
Q5WPU8	UNASSIGNED
Q5WPZ4	UNASSIGNED
Q6GE13	CL0636
Q6VPT6	CL0124
Q70US9	CL0066;PF00161
Q76CA2	UNASSIGNED
Q7M3V4	UNASSIGNED
Q7T3L1	PF06753
Q813X6	CL0352;CL0695
Q962V9	CL0659
Q964Q0	PF00014
Q9S597	CL0202;CL0568;PF03945
Q9UB30	CL0803
Q9X5C7	CL0072;CL0658
Q9Y0X6	UNASSIGNED
Q9ZIU5	PF03945
T1PQV6	UNASSIGNED
U6BLN5	CL0126
