component_id	edge_source	relationship_id	left_protein_id	right_protein_id	left_class_name	right_class_name
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	mmseqs2	70512f5a2d48ec05053b657b0e4ac17e290196905718ad5747f3296d2f526f93	A2S877	Q5Z1C4	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	mmseqs2	70512f5a2d48ec05053b657b0e4ac17e290196905718ad5747f3296d2f526f93	A2S877	Q8F4I0	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	mmseqs2	8040ea875832758072a6ca7f59cefca97695b93877923fd1cf699ca20dc3cf54	O16171	P32751	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	mmseqs2	a5dc2623054e0d79381bfa9764d211b8c469298855607fd5cf3780ed36818db8	A6TAC7	Q13QH4	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	mmseqs2	b349b453537ed174f21510c9034745899e8b52c9c997e12f2a036b341a8f2ebe	P00591	Q02157	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	A2S877	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	A6TAC7	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	O16171	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	P00591	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	P0CH47	negative	positive
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	P32751	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	P52278	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	P53264	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	Q02157	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	Q13QH4	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	Q5XI64	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	Q5Z1C4	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	Q8F4I0	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0028	A0A1L9X9H4	Q9EPB5	negative	negative
0bcdca93b42f5f8f7636da43ae6d12d8f3487a63edc4cf951a08d136de343f55	pfam	CL0321	P00591	Q02157	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	mmseqs2	1a6c9398f4c8e5171d0e4ffdd4549099046bccebc2ba3c5b401231fa17642f77	Q2IBF5	Q8WMX6	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	pfam	CL0003	P0C0T2	Q2IBF5	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	pfam	CL0003	P0C0T2	Q8WMX6	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	pfam	CL0030	Q6RX08	Q9UBN4	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	pfam	CL0030	Q6RX08	Q9XSM3	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	pfam	CL0465	G3V8T1	P0C0T2	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	pfam	CL0465	G3V8T1	P51480	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	pfam	CL0465	G3V8T1	Q2IBF5	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	pfam	CL0465	G3V8T1	Q6RX08	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	pfam	CL0465	G3V8T1	Q8WMX6	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	pfam	CL0465	G3V8T1	Q9UBN4	negative	negative
3247a490d3c14dc37b7031fcc4ca66016fcc9286d5dbba47d244d9c9fe74d944	pfam	CL0465	G3V8T1	Q9XSM3	negative	negative
3b788bb6dc6eb5f2d5926960dea2ed6b63ae4a3933704dffa54177345c0bd40b	mmseqs2	e4442996083b867319459f6ff745b943b355927ef956f3864c0585b482411265	P18108	P29794	negative	negative
3b788bb6dc6eb5f2d5926960dea2ed6b63ae4a3933704dffa54177345c0bd40b	mmseqs2	e4442996083b867319459f6ff745b943b355927ef956f3864c0585b482411265	P18108	P68952	negative	negative
3b788bb6dc6eb5f2d5926960dea2ed6b63ae4a3933704dffa54177345c0bd40b	mmseqs2	e4442996083b867319459f6ff745b943b355927ef956f3864c0585b482411265	P18108	P68953	negative	negative
3b788bb6dc6eb5f2d5926960dea2ed6b63ae4a3933704dffa54177345c0bd40b	pfam	PF00123	C0HJJ3	P18108	negative	negative
3b788bb6dc6eb5f2d5926960dea2ed6b63ae4a3933704dffa54177345c0bd40b	pfam	PF00123	C0HJJ3	P29794	negative	negative
3b788bb6dc6eb5f2d5926960dea2ed6b63ae4a3933704dffa54177345c0bd40b	pfam	PF00123	C0HJJ3	P68952	negative	negative
3b788bb6dc6eb5f2d5926960dea2ed6b63ae4a3933704dffa54177345c0bd40b	pfam	PF00123	C0HJJ3	P68953	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	mmseqs2	6809f199dfefbb522774cbe9b0d3a12d6eb64529e283c72ccdf2249fe650731f	C0HJI4	P01321	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	mmseqs2	6809f199dfefbb522774cbe9b0d3a12d6eb64529e283c72ccdf2249fe650731f	C0HJI4	P01336	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	mmseqs2	6809f199dfefbb522774cbe9b0d3a12d6eb64529e283c72ccdf2249fe650731f	C0HJI4	P12703	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	mmseqs2	6809f199dfefbb522774cbe9b0d3a12d6eb64529e283c72ccdf2249fe650731f	C0HJI4	P69046	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	mmseqs2	db1801f5e6ea9696e812e0e613b0b2eca360e644ebf3f01d48ba07701e8f1132	C0HKS5	Q17192	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	pfam	CL0239	C0HJI4	C0HKS5	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	pfam	CL0239	C0HJI4	P01321	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	pfam	CL0239	C0HJI4	P01336	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	pfam	CL0239	C0HJI4	P12703	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	pfam	CL0239	C0HJI4	P69046	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	pfam	CL0239	C0HJI4	Q17192	negative	negative
3b8b157469069b2798d8a80649219b114147b55756ee1f10018a98f0e0ce22f1	pfam	CL0239	C0HJI4	Q9VT52	negative	negative
3ded12265a603988a0178c96e40bfa08933e15629a9aeea445d98835f9db2c20	mmseqs2	3d5f416fb9555258c06296ac0ade07757e237b3079a747cd668e27b3e3c986f7	P34960	Q3U435	negative	negative
3ded12265a603988a0178c96e40bfa08933e15629a9aeea445d98835f9db2c20	mmseqs2	3d5f416fb9555258c06296ac0ade07757e237b3079a747cd668e27b3e3c986f7	P34960	Q9XT90	negative	negative
3ded12265a603988a0178c96e40bfa08933e15629a9aeea445d98835f9db2c20	pfam	CL0126	B5AJT2	P34960	positive	negative
3ded12265a603988a0178c96e40bfa08933e15629a9aeea445d98835f9db2c20	pfam	CL0126	B5AJT2	P54355	positive	positive
3ded12265a603988a0178c96e40bfa08933e15629a9aeea445d98835f9db2c20	pfam	CL0126	B5AJT2	Q3U435	positive	negative
3ded12265a603988a0178c96e40bfa08933e15629a9aeea445d98835f9db2c20	pfam	CL0126	B5AJT2	Q9XT90	positive	negative
3ded12265a603988a0178c96e40bfa08933e15629a9aeea445d98835f9db2c20	pfam	CL0126	B5AJT2	U6BLN5	positive	positive
3ded12265a603988a0178c96e40bfa08933e15629a9aeea445d98835f9db2c20	pfam	CL0244	P34960	Q3U435	negative	negative
3ded12265a603988a0178c96e40bfa08933e15629a9aeea445d98835f9db2c20	pfam	CL0244	P34960	Q9XT90	negative	negative
3ded12265a603988a0178c96e40bfa08933e15629a9aeea445d98835f9db2c20	pfam	PF00045	P34960	Q3U435	negative	negative
3ded12265a603988a0178c96e40bfa08933e15629a9aeea445d98835f9db2c20	pfam	PF00045	P34960	Q9XT90	negative	negative
4255b4c63e310776293eaa9292721b4fbb3aec219c997c428dc28cf4c2bb0b38	mmseqs2	3fe28c5614fb7e4bb8f81a8f5cb599bc8cfb15b25e98a30a5f01fb2295321601	P35792	Q05968	negative	negative
4255b4c63e310776293eaa9292721b4fbb3aec219c997c428dc28cf4c2bb0b38	mmseqs2	3fe28c5614fb7e4bb8f81a8f5cb599bc8cfb15b25e98a30a5f01fb2295321601	P35792	Q2XXP1	negative	positive
4255b4c63e310776293eaa9292721b4fbb3aec219c997c428dc28cf4c2bb0b38	pfam	CL0213	A7SXG9	P0DY41	positive	positive
4255b4c63e310776293eaa9292721b4fbb3aec219c997c428dc28cf4c2bb0b38	pfam	CL0213	A7SXG9	Q2XXP1	positive	positive
4255b4c63e310776293eaa9292721b4fbb3aec219c997c428dc28cf4c2bb0b38	pfam	CL0659	B9URJ1	C1IBY2	negative	positive
4255b4c63e310776293eaa9292721b4fbb3aec219c997c428dc28cf4c2bb0b38	pfam	CL0659	B9URJ1	P35792	negative	negative
4255b4c63e310776293eaa9292721b4fbb3aec219c997c428dc28cf4c2bb0b38	pfam	CL0659	B9URJ1	Q05968	negative	negative
4255b4c63e310776293eaa9292721b4fbb3aec219c997c428dc28cf4c2bb0b38	pfam	CL0659	B9URJ1	Q2XXP1	negative	positive
4255b4c63e310776293eaa9292721b4fbb3aec219c997c428dc28cf4c2bb0b38	pfam	CL0659	B9URJ1	Q962V9	negative	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	mmseqs2	0c4d121ef3c8a063134c71d2cff29f32502986d9e583f524527e543e0b3d3da2	Q27884	Q9XZE5	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	mmseqs2	5696acace7ad737b70d522672c7a00a2f1750c27e5137df00cd183871a0a3ca0	Q60651	Q60652	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	mmseqs2	5b0a9130c05790acb7c7d0667d35fd221490d49d065f7cde3f0595552325fcab	A1CWF3	A1XIH5	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	mmseqs2	5b0a9130c05790acb7c7d0667d35fd221490d49d065f7cde3f0595552325fcab	A1CWF3	C5G168	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	mmseqs2	95e382920de745ada3a0cdba33197d96bf788c89b96c4c9f88b3d615bbaeeb93	A1B1B9	A5IV71	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	mmseqs2	95e382920de745ada3a0cdba33197d96bf788c89b96c4c9f88b3d615bbaeeb93	A1B1B9	O87402	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	mmseqs2	95e382920de745ada3a0cdba33197d96bf788c89b96c4c9f88b3d615bbaeeb93	A1B1B9	P94669	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	mmseqs2	95e382920de745ada3a0cdba33197d96bf788c89b96c4c9f88b3d615bbaeeb93	A1B1B9	Q0RQS0	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	mmseqs2	95e382920de745ada3a0cdba33197d96bf788c89b96c4c9f88b3d615bbaeeb93	A1B1B9	Q8XXT1	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	mmseqs2	95e382920de745ada3a0cdba33197d96bf788c89b96c4c9f88b3d615bbaeeb93	A1B1B9	Q93T81	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	mmseqs2	d7cb00dd7336a66922b7da1b1d1f04cdce203ca8f0ad7a39f0af208fee485248	P16519	P29121	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0001	O35474	P98105	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0001	O35474	Q4QXT9	negative	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0036	A1B1B9	A5IV71	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0036	A1B1B9	O87402	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0036	A1B1B9	P16218	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0036	A1B1B9	P94669	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0036	A1B1B9	Q0RQS0	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0036	A1B1B9	Q8XXT1	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0036	A1B1B9	Q93T81	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0056	P23806	P98105	positive	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0056	P23806	P98153	positive	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0056	P23806	Q60651	positive	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0056	P23806	Q60652	positive	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0056	P23806	Q9WVF9	positive	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0066	P19247	Q70US9	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0124	B5U2W0	C1IBY0	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0124	B5U2W0	P09332	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0124	B5U2W0	P83298	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0124	B5U2W0	Q4QXT9	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0124	B5U2W0	Q6VPT6	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0159	Q5MAU8	Q93WP4	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0159	Q5MAU8	Q9RYL9	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0159	Q5MAU8	Q9SZY3	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0163	P05637	P17405	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0163	P05637	P55798	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0163	P05637	Q27884	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0163	P05637	Q5MAU8	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0163	P05637	Q61216	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0163	P05637	Q93WP4	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0163	P05637	Q9XZE5	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0202	O35474	O87906	negative	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0202	O35474	P16218	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0202	O35474	P16519	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0202	O35474	P29121	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0202	O35474	Q45744	negative	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0202	O35474	Q45755	negative	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0202	O35474	Q9S597	negative	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0568	O87906	P09545	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0568	O87906	Q45744	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0568	O87906	Q45755	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0568	O87906	Q9S597	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0570	A1CWF3	A1XIH5	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0570	A1CWF3	C5G168	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0570	A1CWF3	P00782	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0570	A1CWF3	P16519	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0570	A1CWF3	P29121	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0570	A1CWF3	Q9SZY3	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0636	P09545	P19247	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0636	P09545	Q2G1X0	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	CL0636	P09545	Q6GE13	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF00082	A1CWF3	A1XIH5	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF00082	A1CWF3	C5G168	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF00082	A1CWF3	P00782	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF00082	A1CWF3	P16519	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF00082	A1CWF3	P29121	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF00082	A1CWF3	Q9SZY3	negative	negative
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF00161	P22244	P33186	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF00161	P22244	P84786	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF00161	P22244	P85101	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF00161	P22244	Q00531	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF00161	P22244	Q70US9	positive	positive
4dec3b942bcff823221913ba64fe5c53a3e07854df7cd72426182f92ef40b3de	pfam	PF03945	O87906	Q45744	positive	positive
