protein_id	cluster_sha256
A0A023VZR2	17ef4de6c09e097788be17376f3a4bedf49a31ddad80f7de0287968cde046dab
A0A068B409	bfe301e01e0dbb7d4b34a06daf465c6878499b15d343335f9818a428364752f9
A0A0A0VBR5	df41a1a6703859ebd02a2daaa9eb1be221bbc32b9a56e049a5a26201aba74a1d
A0A1D0C0W1	d08d79d22f1ea480ece5bd34a6dd680b62886b14b1b4677607c13435b9aa78c8
A0A1Q1NL17	e67787b85ddcf5bfc975d2acbcb8947d76b1c9181e66b39b9ce598ce60ed32da
A0A1S4HE90	09145ae78b7f8665bd703bc013ea78b341359cf649c018c77c418f1a0781afcb
A0A3G5BIC2	1ad5b2bec6d47b3b31b41ef1303d280823f1bafe83105806c22e8f259148b936
A0A5C1ZXT8	4050eb88ce7f36a53827df4b9dc345eb9d605691d2f30c0e4f0d9f4f49318caa
A0A6B9KZ90	fae78a7e8231f00bff96d48c02789d79894d2ba5de4c032132cac93cc76cb724
A0A6G9KHD3	30d316141c576718c81da9d4d82dfd27bea60b1576f0c368af0503e1544e4255
A0A6M3Z541	cfab7848ff4df0b394d01837f63ba4099c080deaf349404e4bff26bac774a925
A0A834R821	77939ad2e030c96a877a22ba5ed5daf6320c94624b47d4656c315df3acad6c55
A0A835CKX4	b613f7066b1f2cd8cc68f2f245f72d22c1c31738b62f6d0c0d83a39f2a95fc86
A0A8B6XDS4	3c8beb82189007e15e6f763cd6e4734b6f8ddc9a30641da7ce1a0282cad95762
A0A976XK90	1bd8270bc3030d4a3f82d20dc2ce8a6b7d9026355d55e9bd565a8e8dedb90fdc
A7L036	89751ed7ecf041ae79b0b380d457f2d9f28ea0d46f8103bc4133a6ea94bd057c
A7RJ12	a951590076a4be9dccd61ed453868df021e1dce4eef6c8baa9cb8e374778db1a
A7RMN1	fbe14e6bc5c3bdc0f52ff629260f6dba99e647948d94630d991ec1aa8666ecb0
A7SXG9	545825cf2b034a096f5e9f2aa1fce218398f3ca39da7afc1bed8da8bd7453deb
A8YPR6	307385ef28f30185626e90b832306f5dcfc7094364f23cee124355968af4fb22
B0X6Z1	6d4464d8a8478cc7db4e454565fa42d81f620825b0dc859c98a8a1d20f3cc7f7
B1P1J4	0da87154007aa330d0da853783489bbd12235a9492143df141a768b13beca061
B2CS62	92804f8f56bb8d918132c75d35669582516c6a91a22eb6ad14753d4d02592392
B3A0N1	6d0e819570d17dc0a10f10b3a1cb6e922b05a93ab83e4ebef3412b781e21c441
B3EWU8	8f92cc3de519b212445a719b3640eb14391d0800ff84f3f3416080fd948f973b
B5AJT2	929816b761e11927d0c24df4b7a23ccc10ade78b826dc4c1b8a1bfe1e3104146
B5U2W0	2c593f39d643cc29ce9098ac49b0ba7dcd6edfef3740c7fb2e8619fcd86a9a82
B6DD38	6de7cb96992b9e1f01a470944ba9ba302819f7e7d964a7bbd1c09319d5a9ba86
C0HKY3	0def464854bdd3f08f96341d82c06039656a246c93e17ff22422b1f04d07cebe
C0HLG4	97fdb67a2c5418c14245527dc227dfe3f2e6929479da30acb18ab8eda56303a3
C0HLZ4	0db9349f45b8f157cd24d665cbc44f86af13a169bd6f23a75033c1e3ca9f03b4
C0HMD5	d2f9f1903f29280643176fba9f728a9e11986d60e8140981c31baa9a9cceaf7a
C1IBY0	9b6021c4d6533553762eb7332c6dbec15381824f543ab1cf0676c43a986c3bcf
C1IBY2	fa8bbcb97444bdb7b3e0c663bcc6c68b099861ab02183b47fe689a0c70167f02
C5H8E7	6e708677cd2cc5c6ab9be105d5611a822c9aa7c554cc6135bff0e2b2a05ff9d2
D1MWE7	2315adae54c350e50fcc7a8ad116393ca5c2c885f60a9321a357fc7c18241531
D2CFI7	150d86325beb54e4425240e5a306c75906cb3b15e467a2967fbd621a69bf4ed0
D2KKB4	e60ef7701260fd19621a8f409eec90f15540259eb9edfb15271a85dc44804c44
D2Y3T1	3ca5a87b6c128affa973fe2da33f8141da86bdec5f25a7ce8023b1f61b067531
D3JWK2	585f9555f63c19a997583dbd87b8fe154313613280cec96c9cf7878a680d4985
D4QD81	bb6aee55a33d8557b8d8fcdc9c6ee6cc2e8fe309857a48977e3368ec08a7fc97
D6C4J8	a2bc9b453c9e38ca948b82775f215406f604d5f7aca757b10d93dae89ea156f8
D9U2B3	1610c730f22c9562aa1dd52994d7b590b299517d104d7613460a57c3ebd3c597
E2E4F7	2adccd27f5b034661c7439813a774b48f6253d6397592fedcf70f29feb394344
E3PQQ8	37d605eae0f0504e35808bab73cc6b2ea8d8efa3e874e8345433cbe6837f0950
F6KSY2	d769507b07b497c016773e07339c01b5b736af2f8e522153f65ee61a648c0b40
G3CJS0	4b1857e5141901bf945f61c0b6dad08d023687885b2bbb9334c54613e9421ad7
H2CYP1	3070a8983b5b490a1e86be87aac030f4a94d3b7e9abfa4dceda7bdc93b70d1ea
I6S3A9	eef3ebba8fe43631f3127e39c828b559144a8bb8c323e9d4c3f9ed76cc172953
I6VXS1	606564e892ac5a16f62afab1b0e7402bf594d8fa5df95b306e8a9f5a425e1542
M1JMQ7	7af63716cc06081d0d7546fa86b2cd2cad992d60d1d38f0e75a3f90a29436fed
O18424	a6f319ecd87bb70c4449888e307ce2ddbb33a2bcbe059cd6b8b224393ff9e00a
O87906	ff2713bbab7bb551cd00af5db93135e91fdfd70a7979866f837878c5382d0a8a
P01546	f6863a3020f6c1cbff169331fb09aa9ff2ec8c88e9c42e4f39a247d8a7fbd5b2
P01552	71c14ef1c502e5d5515c3c4f90cf1c804ea7785c477c8716d59e0ce54c2e46bf
P06886	662dd56267a6f1933170bd5415eedff453ee43b86afeea914c42455946e297b0
P09332	e299e211f8f7eb612fa3fd23a084d528e10106aba75e1f78a7ebd25f044c4db1
P09545	c51b9dcd02eafdc92a8d5d02a4bbf8a6574a5dd23feb39dccd6fd8ee4146d177
P09807	431a28e057e879be486ab873d7da7e4af6f155408d412940e9704c12607bfbf2
P0C1T7	3e6be4ab3e6a8d8fdd8c7eed2d5c737ce9117b0b1dc4898ea697cbe1eedb84fe
P0C1X4	15f91dcdb2f22e3a90231bd7c257f0400ffe5757b5193ffe558728f874b4eda5
P0C255	dc7e5bdda46467f884ee4ad144b20e34d7434802f2066a569c1e5d21fc4f7d15
P0C2K3	6d3d8aa2a11cf520e402b929ec4004b5eaf74bfadda4d55f9e2a2084facda4c2
P0C832	1b9b4a8c350aa4352a6a43524d982138bd147a1652b88e638783f248f652c353
P0CH47	a073093552837268f109d39ef4022323343d440be41001989e3a224e899f9d57
P0DJ43	fa70cfb854061a1d60ccd40556fe3752dec40c8b72a3443800bccead60506a79
P0DJC0	7432cced728537a9e45e71855dac668fa6ba1aa7df20d926e5c7ffc45732b3fc
P0DJE4	f4150137b71dfb79d9e9b96be42ad8d6b21ddb1c27f0b43c1e0f1e1b197c992e
P0DKP3	56065fc24bfb15103a98201be91679167ec44bc6f65b70cdb26e6533c11ea8e4
P0DKQ8	88b4d5a022a5d1cb6f31349882f11c1ad9befcab0d11c57ab4b03ae584ece6ff
P0DL61	c94a9541b6fdfb3dec33e21051321e352b83c98807eab10e031a182dc9031cf7
